"Scenario","Agents","Cost","CostpAgent","QALY","QALYpAgent","ICER","IncrementalNMB"
"S3c",172314,535046632.138344,3105.06767957534,1939340.51147444,11.2546891806495,11516.8507398251,779.236513487413
"S2a",221233,644478700.578359,2913.12191480638,2718304.3379968,12.2870653925807,13391.7662056884,594.9588130021
"S1a",371902,900481317.31165,2421.28656826704,4670660.09473327,12.5588464023675,16195.9770300081,568.065577803878
"S1c",371919,878053058.045354,2360.87174370052,4668922.19279998,12.5535995547417,18321.2035885485,366.138021081453
"S3a",172660,527017591.898348,3052.34328679687,1941269.40602405,11.243307112383,20354.5418715369,262.857492941199
"S3b",172336,542053885.504207,3145.33170959177,1937179.28764906,11.2407116774734,43606.1862312258,40.0973246677313
"S1NoCD",371579,798567287.521849,2149.11845804485,4660359.32347404,12.542041728607,NA,0
"S2NoCD",219759,592355609.78032,2695.47827292771,2696621.66955049,12.270813343483,NA,0
"S3NoCD",172154,494403149.693702,2871.86559530247,1934053.85411836,11.2344404086943,NA,0
"S3d",172882,542727747.314834,3139.29586258161,1943059.5476988,11.2392241395796,55904.1203804128,-28.2437230142532
"S1b",372140,882188217.738326,2370.58154925116,4668622.02165191,12.5453378342879,67189.3175286001,-56.657807157957
