"Scenario","Interval","CostpAgent","CostpAgent_paper","CostpAgent_repo","CostPaperDiff","CostRepoDiff","CostPaperPerc","CostRepoPerc","QALYpAgent","QALYpAgent_paper","QALYpAgent_repo","QALYPaperDiff","QALYRepoDiff","QALYPaperPerc","QALYRepoPerc","ICER","ICER_paper","ICER_repo","ICERPaperDiff","ICERRepoDiff","ICERPaperPerc","ICERRepoPerc","IncrementalNMB","IncrementalNMB_paper","IncrementalNMB_repo","INMBPaperDiff","INMBRepoDiff","INMBPaperPerc","INMBRepoPerc"
"S1a","3 years",2430,2438,2439,-8,-9,"-0.3%","-0.4%",12.558,12.56,12.56,-0.00200000000000067,-0.00200000000000067,"0.00%","0.0%",13791,19632,18767,-5841,-4976,"-29.8%","-26.5%",726,444,482,282,244,"63.5%","50.6%"
"S1a","5 years",2355,2356,2355,-1,0,"0.0%","0.0%",12.56,12.556,12.557,0.00400000000000134,0.00300000000000011,"0.00%","0.0%",9740,19847,17603,-10107,-7863,"-50.9%","-44.7%",845,312,375,533,470,"170.8%","125.3%"
"S1b","3 years",2365,2363,2365,2,0,"0.1%","0.0%",12.55,12.554,12.552,-0.00399999999999956,-0.00199999999999889,"0.00%","0.0%",17035,25894,28168,-8859,-11133,"-34.2%","-39.5%",409,198,167,211,242,"106.6%","144.9%"
"S1b","5 years",2311,2296,2298,15,13,"0.7%","0.6%",12.554,12.552,12.551,0.00200000000000067,0.00300000000000011,"0.00%","0.0%",10380,23187,29091,-12807,-18711,"-55.2%","-64.3%",614,168,105,446,509,"265.5%","484.8%"
"S1c","3 years",2398,2386,2386,12,12,"0.5%","0.5%",12.552,12.551,12.551,0.000999999999999446,0.000999999999999446,"0.00%","0.0%",17438,46956,37782,-29518,-20344,"-62.9%","-53.8%",456,15,76,441,380,"2 940.0%","500.0%"
"S1c","5 years",2300,2313,2311,-13,-11,"-0.6%","-0.5%",12.544,12.55,12.551,-0.00600000000000023,-0.00699999999999967,"0.00%","-0.1%",27839,38673,34119,-10834,-6280,"-28.0%","-18.4%",119,47,74,72,45,"153.2%","60.8%"
"S2a","3 years",2877,2286,2895,591,-18,"25.9%","-0.6%",12.292,12.553,12.282,-0.261000000000001,0.00999999999999979,"-2.10%","0.1%",7853,18908,21840,-11055,-13987,"-58.5%","-64.0%",1191,223,298,968,893,"434.1%","299.7%"
"S2a","5 years",2813,2246,2825,567,-12,"25.2%","-0.4%",12.287,12.551,12.278,-0.263999999999999,0.00900000000000034,"-2.10%","0.1%",9106,17514,19840,-8408,-10734,"-48.0%","-54.1%",642,176,240,466,402,"264.8%","167.5%"
"S3a","3 years",3074,2234,3071,840,3,"37.6%","0.1%",11.248,12.548,11.237,-1.3,0.0109999999999992,"-10.40%","0.1%",7930,30366,34146,-22436,-26216,"-73.9%","-76.8%",803,54,82,749,721,"1 387.0%","879.3%"
"S3a","5 years",3031,2207,3024,824,7,"37.3%","0.2%",11.235,12.548,11.236,-1.313,-0.00100000000000122,"-10.50%","0.0%",-80780,22636,22117,-103416,-102897,"-456.9%","-465.2%",-228,68,152,-296,-380,"-435.3%","-250.0%"
"S3b","3 years",3187,2292,3195,895,-8,"39.0%","-0.3%",11.247,12.553,11.247,-1.306,0,"-10.40%","0.0%",14736,18438,19575,-3702,-4839,"-20.1%","-24.7%",631,241,466,390,165,"161.8%","35.4%"
"S3b","5 years",3121,2250,3113,871,8,"38.7%","0.3%",11.254,12.552,11.243,-1.298,0.0109999999999992,"-10.30%","0.1%",13430,16251,17541,-2821,-4111,"-17.4%","-23.4%",629,206,388,423,241,"205.3%","62.1%"
"S3c","3 years",3099,2256,3121,843,-22,"37.4%","-0.7%",11.241,12.55,11.242,-1.309,-0.00100000000000122,"-10.40%","0.0%",14727,23972,21507,-9245,-6780,"-38.6%","-31.5%",422,114,299,308,123,"270.2%","41.1%"
"S3c","5 years",3036,2224,3056,812,-20,"36.5%","-0.7%",11.248,12.549,11.24,-1.301,0.00799999999999912,"-10.40%","0.1%",12968,20278,17870,-7310,-4902,"-36.0%","-27.4%",416,107,274,309,142,"288.8%","51.8%"
"S3d","3 years",3117,2263,3132,854,-15,"37.7%","-0.5%",11.239,12.549,11.243,-1.31,-0.00399999999999956,"-10.40%","0.0%",19458,28245,21157,-8787,-1699,"-31.1%","-8.0%",304,86,322,218,-18,"253.5%","-5.6%"
"S3d","5 years",3045,2227,3066,818,-21,"36.7%","-0.7%",11.232,12.548,11.237,-1.316,-0.00500000000000078,"-10.50%","0.0%",-38068,27591,25402,-65659,-63470,"-238.0%","-249.9%",-359,62,158,-421,-517,"-679.0%","-327.2%"
