"Scenario","Interval","CostpAgent","CostpAgent_paper","CostDiff","CostPerc","QALYpAgent","QALYpAgent_paper","QALYDiff","QALYPerc","ICER","ICER_paper","ICERDiff","ICERPerc","IncrementalNMB","IncrementalNMB_paper","INMBDiff","INMBPerc","Ranking","Ranking_paper","RankDiff","RankPerc"
"S0",NA,2154,2151,3,"0.1%",12.538,12.546,-0.00799999999999912,"-0.10%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S1a","3 years",2430,2438,-8,"-0.3%",12.558,12.56,-0.00200000000000067,"0.00%",13791,19632,-5841,"-29.8%",726,444,282,"63.5%",4,1,3,"300.0%"
"S1a","5 years",2355,2356,-1,"0.0%",12.56,12.556,0.00400000000000134,"0.00%",9740,19847,-10107,"-50.9%",845,312,533,"170.8%",2,2,0,"0.0%"
"S1b","3 years",2365,2363,2,"0.1%",12.55,12.554,-0.00399999999999956,"0.00%",17035,25894,-8859,"-34.2%",409,198,211,"106.6%",12,6,6,"100.0%"
"S1b","5 years",2311,2296,15,"0.7%",12.554,12.552,0.00200000000000067,"0.00%",10380,23187,-12807,"-55.2%",614,168,446,"265.5%",8,8,0,"0.0%"
"S1c","3 years",2398,2386,12,"0.5%",12.552,12.551,0.000999999999999446,"0.00%",17438,46956,-29518,"-62.9%",456,15,441,"2 940.0%",9,16,-7,"-43.8%"
"S1c","5 years",2300,2313,-13,"-0.6%",12.544,12.55,-0.00600000000000023,"0.00%",27839,38673,-10834,"-28.0%",119,47,72,"153.2%",14,15,-1,"-6.7%"
"S2a","3 years",2877,2286,591,"25.9%",12.292,12.553,-0.261000000000001,"-2.10%",7853,18908,-11055,"-58.5%",1191,223,968,"434.1%",1,4,-3,"-75.0%"
"S2a","5 years",2813,2246,567,"25.2%",12.287,12.551,-0.263999999999999,"-2.10%",9106,17514,-8408,"-48.0%",642,176,466,"264.8%",5,7,-2,"-28.6%"
"S3a","3 years",3074,2234,840,"37.6%",11.248,12.548,-1.3,"-10.40%",7930,30366,-22436,"-73.9%",803,54,749,"1 387.0%",3,14,-11,"-78.6%"
"S3a","5 years",3031,2207,824,"37.3%",11.235,12.548,-1.313,"-10.50%",-80780,22636,-103416,"-456.9%",-228,68,-296,"-435.3%",15,12,3,"25.0%"
"S3b","3 years",3187,2292,895,"39.0%",11.247,12.553,-1.306,"-10.40%",14736,18438,-3702,"-20.1%",631,241,390,"161.8%",6,3,3,"100.0%"
"S3b","5 years",3121,2250,871,"38.7%",11.254,12.552,-1.298,"-10.30%",13430,16251,-2821,"-17.4%",629,206,423,"205.3%",7,5,2,"40.0%"
"S3c","3 years",3099,2256,843,"37.4%",11.241,12.55,-1.309,"-10.40%",14727,23972,-9245,"-38.6%",422,114,308,"270.2%",10,9,1,"11.1%"
"S3c","5 years",3036,2224,812,"36.5%",11.248,12.549,-1.301,"-10.40%",12968,20278,-7310,"-36.0%",416,107,309,"288.8%",11,10,1,"10.0%"
"S3d","3 years",3117,2263,854,"37.7%",11.239,12.549,-1.31,"-10.40%",19458,28245,-8787,"-31.1%",304,86,218,"253.5%",13,11,2,"18.2%"
"S3d","5 years",3045,2227,818,"36.7%",11.232,12.548,-1.316,"-10.50%",-38068,27591,-65659,"-238.0%",-359,62,-421,"-679.0%",16,13,3,"23.1%"
