Scenario,Agents,PropAgents,Cost,CostpAgent,CostpAgentExcluded,CostpAgentAll,QALY,QALYpAgent,QALYpAgentExcluded,QALYpAgentAll,IncrementalCosts,IncrementalQALY,ICERAdj,ICER,INMB,Interval
S1NoCDAvg,37197251,1,79996340668,2150.598,0,2150.598,466646828,12.5452,0,12.5452,0,0,NA,NA,0,NA
S1a,37197696,1,90742666667,2439.47,0,2439.47,467198836,12.55989,0,12.55989,288.8719,0.0146898,19664.85,18767.2,445.61616,3 years
S1b,37191151,1,87958045385,2365.026,0,2365.026,466826928,12.5521,0,12.5521,214.42798,0.0069002,31075.82,28168.26,130.57981,3 years
S1c,37198138,1,88752748122,2385.946,0,2385.946,466862994,12.55071,0,12.55071,235.3478,0.005512,42697.05,37781.58,40.25413,3 years
S2NoCD,22087367,0.5937903,58833747414,2663.683,1400.579,2150.598,271053001,12.27186,12.94476,12.5452,0,0,NA,NA,0,NA
S2a,22077499,0.593525,63905534183,2894.6,1400.579,2287.318,271165331,12.28243,12.94476,12.55165,136.71999,0.006454,21183.88,21839.88,185.97823,3 years
S3NoCD,17250801,0.4637655,49945027393,2895.229,1506.6,2150.598,193749776,11.23135,13.68148,12.5452,0,0,NA,NA,0,NA
S3a,17248698,0.4637089,52978525579,3071.451,1506.6,2232.235,193815173,11.23651,13.68148,12.54773,81.63685,0.0025316,32246.85,34146.23,44.94428,3 years
S3b,17242631,0.4635458,55095325299,3195.297,1506.6,2289.388,193922329,11.24668,13.68148,12.55284,138.79001,0.0076438,18157.08,19575.13,243.40243,3 years
S3c,17248002,0.4636902,53824963528,3120.649,1506.6,2255.019,193899120,11.24183,13.68148,12.55024,104.42043,0.0050444,20700.25,21507.02,147.79979,3 years
S3d,17258354,0.4639685,54047585836,3131.677,1506.6,2260.584,194027487,11.24253,13.68148,12.54988,109.98606,0.0046878,23462,21156.57,124.40586,3 years
S1NoCDAvg,37197251,1,79996340668,2150.598,0,2150.598,466646828,12.5452,0,12.5452,0,0,NA,NA,0,NA
S1a,37190511,1,87570365545,2354.643,0,2354.643,467019427,12.55749,0,12.55749,204.04452,0.0122922,16599.5,17602.85,410.56586,5 years
S1b,37191498,1,85462111954,2297.894,0,2297.894,466789476,12.55097,0,12.55097,147.29559,0.0057761,25501.07,29091.01,141.50716,5 years
S1c,37192985,1,85934707139,2310.508,0,2310.508,466794241,12.5506,0,12.5506,159.91029,0.0054024,29600,34118.95,110.2084,5 years
S2NoCD,22074226,0.593437,58878017491,2667.274,1396.435,2150.598,270861434,12.27048,12.94618,12.5452,0,0,NA,NA,0,NA
S2a,22080710,0.5936113,62387144865,2825.414,1396.435,2244.693,271116999,12.27845,12.94618,12.54981,94.09493,0.0046138,20394.17,19839.68,136.59587,5 years
S3NoCD,17247148,0.4636673,50080509603,2903.698,1499.533,2150.598,193703479,11.23104,13.6813,12.5452,0,0,NA,NA,0,NA
S3a,17248098,0.4636928,52161533045,3024.19,1499.533,2206.506,193808114,11.23649,13.6813,12.54766,55.90733,0.0024636,22693.58,22117.21,67.27141,5 years
S3b,17246133,0.46364,53695335114,3113.471,1499.533,2247.819,193898328,11.243,13.6813,12.55081,97.22083,0.0056116,17324.99,17540.81,183.35891,5 years
S3c,17251323,0.4637795,52717881276,3055.875,1499.533,2221.332,193897276,11.23956,13.6813,12.54887,70.73402,0.0036744,19250.43,17870.04,112.98661,5 years
S3d,17249006,0.4637172,52893800213,3066.484,1499.533,2226.155,193834886,11.23745,13.6813,12.54805,75.55678,0.0028493,26517.33,25401.61,66.91004,5 years
