"Scenario","Agents","PropAgents","Cost","CostpAgent","CostpAgentExcluded","CostpAgentAll","QALY","QALYpAgent","QALYpAgentExcluded","QALYpAgentAll","IncrementalCosts","IncrementalQALY","ICERAdj","ICER","INMB"
"S1NoCDAvg",37198402,1,79611221702.1073,2140.17854052191,0,2140.17854052191,466612084.315661,12.5438744469631,0,12.5438744469631,0,0,NA,NA,0
"S1a",37192142,1,90029166180.6185,2420.6502056434,0,2420.6502056434,467067251.851173,12.5582240423575,0,12.5582240423575,280.471665121491,0.0143495953943766,19545.6148701867,18424.9596168519,437.008104597335
"S1b",37187925,1,87358830750.2865,2349.1181815142,0,2349.1181815142,466782406.198794,12.5519884800992,0,12.5519884800992,208.939640992292,0.00811403313612935,25750.4051914635,23225.5913763347,196.762015814078
"S1c",37195823,1,88369606438.0401,2375.79382066745,0,2375.79382066745,466792527.490138,12.5495953534927,0,12.5495953534927,235.615280145537,0.00572090652963908,41184.9553781123,35616.3831043441,50.4300463363761
"S2NoCD",22078475,0.593532888859043,58623262797.6865,2655.22246430908,1388.09922193545,2140.17854052191,270860548.807215,12.268082320324,12.9465926329172,12.5438744469631,0,0,NA,NA,0
"S2a",22076350,0.593475762749163,63456641764.5573,2874.4172729893,1388.09922193545,2270.19296097248,271102266.321126,12.2802123684905,12.9465926329172,12.5511120972056,130.014420450572,0.00723765024251577,17963.6230121808,18070.39886982,231.86809167522
"S3NoCD",17251004,0.463756588253442,49706422473.1814,2881.36403383718,1499.18296255611,2140.17854052191,193732612.293423,11.2302224434834,13.6799532461446,12.5438744469631,0,0,NA,NA,1.16415321826935e-10
"S3a",17249134,0.463706317276748,52783263534.7295,3060.05295887489,1499.18296255611,2222.96824029686,193741259.214591,11.2319412217791,13.6799532461446,12.5447946056769,82.7896997749544,0.000920158713757502,89973.2823665601,103962.753948155,-36.781764086918
"S3b",17250219,0.46373548519638,54744732216.0787,3173.56737419268,1499.18296255611,2275.65443009165,193956703.474523,11.2437241216777,13.6799532461446,12.5501873510604,135.475889569744,0.00631290409728891,21460.1532799974,21642.0015461401,180.169315294828
"S3c",17252836,0.463805837680877,53445425795.8674,3097.77626100818,1499.18296255611,2240.61986645571,193919004.9689,11.2398335536778,13.6799532461446,12.5482114881384,100.441325933803,0.00433704117531697,23158.9514310899,22516.881275472,116.410732832272
"S3d",17252575,0.46379882125044,53805052917.5154,3118.66796217466,1499.18296255611,2250.29819641196,193882222.110877,11.2378715705266,13.6799532461446,12.5473186435957,110.119655890053,0.00344419663255913,31972.5229532646,31023.6615236639,62.0901757380925
