"Scenario","Agents","PropAgents","Cost","CostpAgent","CostpAgentExcluded","CostpAgentAll","QALY","QALYpAgent","QALYpAgentExcluded","QALYpAgentAll","IncrementalCosts","IncrementalQALY","ICERAdj","ICER","INMB"
"S1NoCDAvg",372345,1,799385701.441704,2146.89522201642,0,2146.89522201642,4669133.40600324,12.5398042299567,0,12.5398042299567,0,0,NA,NA,0
"S1a",371318,1,866371385.458698,2333.23293096133,0,2333.23293096133,4665039.5868265,12.5634620105314,0,12.5634620105314,186.337708944907,0.0236577805746787,7876.38165620436,6905.03616341851,996.551319789025
"S1b",372160,1,853048522.481596,2292.15531621237,0,2292.15531621237,4668816.72807435,12.5451868230717,0,12.5451868230717,145.260094195951,0.00538259311492162,26987.0099958441,16430.1736114684,123.869561550091
"S1c",372248,1,852957073.739978,2291.36778099541,0,2291.36778099541,4666573.99115863,12.5361962754901,0,12.5361962754901,144.472558978987,-0.00360795446665918,-40042.7888749834,-2659581.34492288,-324.87028231204
"S2NoCD",220307,0.591674388000376,580518447.212724,2635.04313168771,1439.55625717899,2146.89522201642,2704712.96839822,12.2770178360116,12.9205885213238,12.5398042299567,0,0,NA,NA,0
"S2a",220415,0.591964441579718,624560909.532004,2833.56808534811,1439.55625717899,2264.76169059665,2705380.91314197,12.2740326799082,12.9205885213238,12.5378504537101,117.866468580226,-0.00195377624663173,-60327.5164100421,-66504.0442715776,-215.555280911969
"S3NoCD",172589,0.463519048194551,495927340.490102,2873.45856624757,1519.14516185547,2146.89522201642,1939933.63937471,11.2401928244251,13.6626672872331,12.5398042299567,0,0,NA,NA,0
"S3a",172075,0.462138608011387,513227946.678771,2982.58286606869,1519.14516185547,2195.45622539195,1932791.71716547,11.2322633570563,13.6626672872331,12.5394837980358,48.5610033755329,-0.000320431920945552,-151548.58240164,-13761.8700910945,-64.5825994228944
"S3b",172244,0.462592488149431,530444957.288757,3079.61355570445,1519.14516185547,2241.00611884462,1937428.07106715,11.2481600001576,13.6626672872331,12.5457343536499,94.1108968282001,0.00593012369316881,15869.9719765729,25875.5418958101,202.39528783015
"S3c",172360,0.462904027179095,521713036.860427,3026.88000035059,1519.14516185547,2217.08169051308,1935156.91843596,11.2274130798095,13.6626672872331,12.5353783074118,70.1864684966654,-0.00442592254489327,-15858.0426531974,-12005.0469486375,-291.4825957414
"S3d",172824,0.464150183297748,521137298.355392,3015.42203834764,1519.14516185547,2213.64234834349,1942773.00700476,11.2413380491411,13.6626672872331,12.5388068775485,66.7471263270741,-0.000997352408251828,-66924.3145901349,123961.236710232,-116.614746739739
