"Scenario","PropAgents","ProppPatientYears","ProppCopdPYs","SABAAll","LAMAAll","LAMALABAAll","ICSLAMALABAAll","MildpAgentAll","ModeratepAgentAll","SeverepAgentAll","VerySeverepAgentAll","NoCOPDpPYAll","GOLD1pPYAll","GOLD2pPYAll","GOLD3pPYAll","GOLD4pPYAll","DiagnosedpPYAll"
"S1NoCDAvg",1,1,1,0.0190063535104257,0.134817200067439,0.150794908299285,0.0795208297668578,0.414749761645785,0.0773328499107011,0.130928305737958,0.0113564033356162,0.842360879531188,0.0462742225582663,0.0490738732915263,0.0110794230019055,0.00188548558164924,0.185536141094317
"S1a",1,1,1,0.0262287955226838,0.159835098219111,0.311898642021496,0.0945691270487074,0.404198572721632,0.075838599902771,0.128911653241727,0.0110228649242447,0.842203227468718,0.0460317535920581,0.0492386217350139,0.0112254745543451,0.00195239519341265,0.465465352106326
"S1b",1,1,1,0.0216906257296801,0.149213317733453,0.240245483619858,0.0879283846155964,0.399423952928418,0.0755115571792483,0.12835971535866,0.0110297176939864,0.843466566013415,0.0460099341788483,0.0485532689792176,0.0108375526404405,0.00180163510808511,0.333669325808989
"S1c",1,1,1,0.0203016582042494,0.144607163464848,0.215494602691902,0.0857389631781916,0.407804125429396,0.0773934640382331,0.128727481896816,0.0112462839417903,0.842527645657834,0.0458712499712157,0.049320199336052,0.0110510963615376,0.00188405960583275,0.290437347244773
"S2NoCD",0.592654661671299,0.582138931923799,0.704540901505747,0.0190063535104257,0.134817200067439,0.150794908299285,0.0795208297668578,0.414749761645785,0.0773328499107011,0.130928305737958,0.0113564033356162,0.842360879531188,0.0462742225582663,0.0490738732915263,0.0110794230019055,0.00188548558164924,0.185536141094317
"S2a",0.593782647813184,0.582898552295624,0.70071088571072,0.0221727678473601,0.147579640026177,0.228806239882653,0.0869480782949266,0.404321482480929,0.0760273942473468,0.130001144556222,0.0111756139725921,0.842825404643104,0.0462467956773111,0.0485307810188809,0.0112179904148424,0.00182437101789126,0.307456753462825
"S3NoCD",0.465471538492527,0.417901218372302,0.586091480485014,0.0190063535104257,0.134817200067439,0.150794908299285,0.0795208297668578,0.414749761645785,0.0773328499107011,0.130928305737958,0.0113564033356162,0.842360879531188,0.0462742225582663,0.0490738732915263,0.0110794230019055,0.00188548558164924,0.185536141094317
"S3a",0.463948757200983,0.416214049815319,0.58765501462094,0.020179190240956,0.137694477648865,0.179811148088628,0.0816089980935359,0.416895732159565,0.0786676476198239,0.130619271820702,0.0111891366573353,0.842039324848406,0.0462377613780701,0.0491722444746331,0.0112497946640317,0.00195353875309535,0.230823620274099
"S3b",0.463559333413904,0.415222281765165,0.581455233421264,0.022401910093844,0.143116616640868,0.227952451488727,0.0857090716023783,0.407135833732733,0.0757910923631533,0.127007784802224,0.0112810052781546,0.842604738804538,0.0460665161483422,0.0489549701061314,0.0110457789607522,0.00193620754459684,0.312314440346741
"S3c",0.463792987686151,0.416163137589187,0.580674388755471,0.021268980241857,0.140991748100875,0.204821397017597,0.084622157611053,0.414660655142563,0.0772285833465881,0.129145671655377,0.0112468324197266,0.842749882066967,0.0458571324392465,0.0488801580109273,0.0112031613079028,0.00194544113453075,0.271070338635986
"S3d",0.463151109857793,0.415018033136935,0.590377383097078,0.0208534141685939,0.138247820141337,0.191922260774325,0.0824394510513291,0.418415630218838,0.0777981337195735,0.129357546478533,0.0112790315225596,0.841628465459833,0.0465280133595606,0.0492852936694943,0.0112227758487954,0.00196065357106608,0.251842372935434
