"Scenario","PropAgents","ProppPatientYears","ProppCopdPYs","SABAAll","LAMAAll","LAMALABAAll","ICSLAMALABAAll","MildpAgentAll","ModeratepAgentAll","SeverepAgentAll","VerySeverepAgentAll","NoCOPDpPYAll","GOLD1pPYAll","GOLD2pPYAll","GOLD3pPYAll","GOLD4pPYAll","DiagnosedpPYAll"
"S1NoCDAvg",1,1,1,0.0190063535104257,0.134817200067439,0.150794908299285,0.0795208297668578,0.414749761645785,0.0773328499107011,0.130928305737958,0.0113564033356162,0.842360879531188,0.0462742225582663,0.0490738732915263,0.0110794230019055,0.00188548558164924,0.185536141094317
"S1a",1,1,1,0.0278959199314403,0.155679802107752,0.274575429165636,0.0917754533271549,0.402533677333175,0.0756575226625157,0.127731486219359,0.0108316860480774,0.842986700914145,0.0456183372145467,0.049028218568466,0.011065683067446,0.00195464896069761,0.40040827954442
"S1b",1,1,1,0.0241759839172556,0.145076397942377,0.216693201592984,0.0866327899611148,0.409092863284609,0.0766444539982803,0.129726461736887,0.0111054385210662,0.842244527986417,0.0461677269971339,0.0493465199488619,0.0109826641620824,0.00192002160952274,0.293993998101168
"S1c",1,1,1,0.0231181746600553,0.139921303335604,0.195223274807614,0.0831268693760954,0.411279577056156,0.077211966216071,0.129241795792053,0.0110275945068879,0.842265304110024,0.046402353767442,0.0491774922123526,0.0109142342410485,0.00189259744006,0.259472378233696
"S2NoCD",0.591674388000376,0.581080325002732,0.708728828963593,0.0190063535104257,0.134817200067439,0.150794908299285,0.0795208297668578,0.414749761645785,0.0773328499107011,0.130928305737958,0.0113564033356162,0.842360879531188,0.0462742225582663,0.0490738732915263,0.0110794230019055,0.00188548558164924,0.185536141094317
"S2a",0.591964441579718,0.580847924205345,0.703614854421421,0.0215134672661424,0.14560498401705,0.210788180920839,0.0868619273709652,0.404796047776017,0.075725773329618,0.132142769941226,0.0113620155718602,0.842909193016369,0.0456107312433667,0.0489155639633674,0.0113019933768794,0.00194455494580691,0.278011509520355
"S3NoCD",0.463519048194551,0.415834451542709,0.586422901292996,0.0190063535104257,0.134817200067439,0.150794908299285,0.0795208297668578,0.414749761645785,0.0773328499107011,0.130928305737958,0.0113564033356162,0.842360879531188,0.0462742225582663,0.0490738732915263,0.0110794230019055,0.00188548558164924,0.185536141094317
"S3a",0.462138608011387,0.414116488096549,0.583843068264947,0.019791666904719,0.134969503640038,0.16818314905464,0.0789618874248133,0.40856040811262,0.0768385496615342,0.131083897256962,0.0112178189085752,0.84246838870615,0.046713337918014,0.0485564335726216,0.0110479075011879,0.00189360372608063,0.215402721289155
"S3b",0.462592488149431,0.414949799924548,0.584347226263396,0.0216665245580757,0.142177660669644,0.209932323789899,0.0838550231979291,0.409010297078409,0.0758479067958592,0.129704100804537,0.0116812431737696,0.842491995834252,0.0462463271721096,0.0490876354570756,0.0109315408320398,0.00193474717089125,0.282151555182437
"S3c",0.462904027179095,0.414573380902936,0.582648273252082,0.0205637470569626,0.138762601371948,0.189753105771038,0.0816015419483093,0.412494716085819,0.076784989205718,0.130676806957089,0.0113777807367293,0.842645139009683,0.0459266440127704,0.0490360161900357,0.0111627956643991,0.00191621783046329,0.248827593215105
"S3d",0.464150183297748,0.416276673137401,0.586868632796247,0.0202994960458873,0.135359919538737,0.178804360140142,0.0786270647646069,0.41026190506716,0.0769774768169267,0.130308141041042,0.0112972884930331,0.842320717268772,0.0463688780601715,0.0489791872092222,0.0111158465537064,0.00190571697674673,0.232287285058103
