"Scenario","Agents","Cost","CostpAgent","QALY","QALYpAgent","ICER","IncrementalNMB"
"S1c",372034,884338769.347766,2377.03750019559,4672606.68803641,12.5596227442557,14053.0334618776,584.718160139164
"S1b",372539,869994855.191615,2335.31215575179,4678541.31806273,12.5585276120426,12317.1286168003,571.68689392868
"S1a",372317,909303377.580565,2442.28272568957,4675986.34459706,12.5591534756594,18600.7632028371,496.009504829766
"S2a",221092,633874232.461692,2867.0156878661,2715994.84233432,12.2844555313368,46673.70147758,15.5951873869635
"S1NoCD",372380,800039431.340926,2148.44898045257,4670895.13467683,12.543356610658,NA,0
"S2NoCD",220672,584381014.92897,2648.18832896321,2709800.76116846,12.279767080411,NA,0
"S3NoCD",173316,497655932.952165,2871.37905878375,1949998.50968334,11.2511165136706,NA,0
"S3c",172691,531277665.644986,3076.46412172601,1943192.26176234,11.2524234717637,156917.856844961,-139.737158291508
"S3a",172749,528820122.847254,3061.20511752458,1942376.31917384,11.2439222176328,-26385.633527118,-549.540860634414
"S3b",172604,536672766.525257,3109.27189708962,1939689.39441565,11.2378009456076,-17865.7671365888,-903.671241458505
"S3d",172452,535593035.22996,3105.75136983021,1937181.73902225,11.2331648170056,-13055.7192125051,-1131.95714429708
