"Scenario","Agents","Cost","CostpAgent","QALY","QALYpAgent","ICER","IncrementalNMB"
"S1a",371318,866371385.458698,2333.23293096133,4665039.5868265,12.5634620105314,6905.03616341851,1172.64969939459
"S1b",372160,853048522.481596,2292.15531621237,4668816.72807435,12.5451868230717,16430.1736114684,299.967941155657
"S3b",172244,530444957.288757,3079.61355570445,1937428.07106715,11.2481600001576,25875.5418958101,192.203797166818
"S1NoCD",372310,798731971.542481,2145.34117144982,4667371.67732964,12.5362511813533,NA,0
"S2NoCD",220307,580518447.212724,2635.04313168771,2704712.96839822,12.2770178360116,NA,0
"S3NoCD",172589,495927340.490102,2873.45856624757,1939933.63937471,11.2401928244251,NA,0
"S3d",172824,521137298.355392,3015.42203834764,1942773.00700476,11.2413380491411,123961.236710232,-84.7022363026626
"S1c",372248,852957073.739978,2291.36778099541,4666573.99115863,12.5361962754901,-2659581.34492288,-148.771902706474
"S2a",220415,624560909.532004,2833.56808534811,2705380.91314197,12.2740326799082,-66504.0442715776,-347.782758832094
"S3a",172075,513227946.678771,2982.58286606869,1932791.71716547,11.2322633570563,-13761.8700910945,-505.597668261616
"S3c",172360,521713036.860427,3026.88000035059,1935156.91843596,11.2274130798095,-12005.0469486375,-792.408664887655
