"Scenario","Agents","PropAgents","Cost","CostpAgent","CostpAgentExcluded","CostpAgentAll","QALY","QALYpAgent","QALYpAgentExcluded","QALYpAgentAll","IncrementalCosts","IncrementalQALY","ICERAdj","ICER","INMB"
"S1NoCDAvg",74388728,1,157400742384.857,2115.92196391391,0,2115.92196391391,933089964.927863,12.5434322683886,0,12.5434322683886,0,0,NA,NA,0
"S1a",74384605,1,177342392759.444,2384.12763984488,0,2384.12763984488,933910625.769755,12.5551601137057,0,12.5551601137057,268.20567593097,0.0117278453171661,22869.1348391504,22514.2355821656,318.186589927296
"S1b",74380901,1,172345014249.978,2317.06005080495,0,2317.06005080495,933455775.672612,12.5496701857996,0,12.5496701857996,201.138086891036,0.00623791741105606,32244.4292921449,31173.6316387747,110.757783661713
"S1c",74388307,1,174452822866.704,2345.16458166878,0,2345.16458166878,933418442.786909,12.547918892507,0,12.547918892507,229.242617754874,0.00448662411841916,51094.6786947793,48484.2821741104,-4.91141183394939
"S2NoCD",44169627,0.593767741263166,115689770204.655,2619.21546687852,1380.28501179442,2115.92194969185,541939121.858374,12.2694973597666,12.9438279143211,12.5434321840785,0,0,NA,NA,-0.00420127948746085
"S2a",44160949,0.593651083803987,125061550641.319,2831.94889315714,1380.28501179442,2242.0668482845,542188778.822058,12.2775617621365,12.9438279143211,12.5482982909748,126.144898592654,0.00486610689625877,25923.1663590535,26379.3169687102,117.156244940823
"S3NoCD",34502794,0.463817502027995,98426416970.7859,2852.70859428908,1478.57451235994,2115.92194969185,387439852.221899,11.2292312391251,13.6802641428922,12.5434321840785,0,0,NA,NA,-0.00420127948746085
"S3a",34508239,0.463890698601541,104309434611.023,3022.74000742324,1478.57451235994,2194.89852262125,387629748.619156,11.2329623258711,13.6802641428922,12.5449835933054,78.9765729293999,0.00155140922692532,50906.3447340202,45571.5518590148,-1.41031286271755
"S3b",34501593,0.463801357108835,108125502672.91,3133.9278355324,1478.57451235994,2246.32963014195,387839467.33519,11.2412046404695,13.6802641428922,12.5490250355993,130.407680450101,0.0055928515208219,23316.8500834681,23486.9969823049,149.230694311438
"S3c",34499405,0.463771944050448,105591264772.796,3060.66915567952,1478.57451235994,2212.30562076406,387687155.605703,11.2375026643417,13.6802641428922,12.5473799031333,96.3836710722126,0.00394771905473945,24415.0279530401,25142.0469805599,100.998080385267
"S3d",34510053,0.463915084016492,106395250599.573,3083.02194144915,1478.57451235994,2222.90187622591,387774692.437937,11.2365719182737,13.6802641428922,12.5465984591978,106.979926534059,0.00316627511931777,33787.3123789413,31374.9371821419,51.3296281521907
