"Scenario","PropAgents","ProppPatientYears","ProppCopdPYs","SABAAll","LAMAAll","LAMALABAAll","ICSLAMALABAAll","MildpAgentAll","ModeratepAgentAll","SeverepAgentAll","VerySeverepAgentAll","NoCOPDpPYAll","GOLD1pPYAll","GOLD2pPYAll","GOLD3pPYAll","GOLD4pPYAll","DiagnosedpPYAll"
"S1NoCDAvg",1,1,1,0.0138156110601402,0.108155476254813,0.122265138914658,0.0623377879137643,0.416895352747529,0.0782003760032031,0.131754067632397,0.0113901934174758,0.842596753904875,0.0461150813733122,0.0490508182111646,0.0109895807564322,0.00190431267229505,0.185724449838688
"S1a",1,1,1,0.0205260565496991,0.123293176439355,0.216719881845281,0.0715701427628545,0.408864621294397,0.0771197852539273,0.130215687186626,0.0112917810904392,0.8424404009389,0.0461340159049209,0.0491312976708079,0.0110320396409636,0.00191754016853981,0.39982337531207
"S1b",1,1,1,0.0176032361481101,0.11567465637605,0.172140297968782,0.0670716765171,0.412076111806604,0.0774633029537723,0.13077398972233,0.0113224622885181,0.842548657787468,0.0461184076724373,0.0490774529117943,0.0110018988737676,0.00191262441146626,0.293865184899645
"S1c",1,1,1,0.0167543180491431,0.113300744624736,0.156812238701707,0.0656851003348106,0.413416233117028,0.0777610728628253,0.131210798390215,0.0113470208289095,0.842612694202816,0.046065581987514,0.0490581155582079,0.0110106174731074,0.00191047737472899,0.259761143367742
"S2NoCD",0.59366449981508,0.582431852769482,0.70518978763067,0.0138156110601402,0.108155476254813,0.122265138914658,0.0623377879137643,0.416895352747529,0.0782003760032031,0.131754067632397,0.0113901934174758,0.842596753904875,0.0461150813733122,0.0490508182111646,0.0109895807564322,0.00190431267229505,0.185724449838688
"S2a",0.593553582472871,0.582346369996639,0.705482165310568,0.0157017274551857,0.114810858724409,0.167186687624372,0.0666016155485754,0.412462514370244,0.0776165085941838,0.130955372481201,0.0113516454761109,0.842560110607491,0.0461413379989845,0.0490495773116482,0.0110041288415844,0.00190113232615219,0.277510417035293
"S3NoCD",0.46378902997239,0.415563599842552,0.586273039754612,0.0138156110601402,0.108155476254813,0.122265138914658,0.0623377879137643,0.416895352747529,0.0782003760032031,0.131754067632397,0.0113901934174758,0.842596753904875,0.0461150813733122,0.0490508182111646,0.0109895807564322,0.00190431267229505,0.185724449838688
"S3a",0.463809100217442,0.415659510241825,0.586496319091327,0.0144184408353435,0.110346163446891,0.137996852003631,0.0638453523778396,0.415331802601167,0.0779752121126034,0.131407480981601,0.0113797624105512,0.842582424318357,0.0461438919863112,0.0490346727182415,0.0109839728057057,0.00191359361109582,0.216908284755142
"S3b",0.463645674919996,0.415562282000803,0.586584059506754,0.0159394461844266,0.115325183820025,0.169700444039507,0.0670362035213841,0.412462925750686,0.0776870871438966,0.130993314549746,0.0113311434780761,0.842562763106232,0.0461283176401128,0.0490432672750186,0.0110043556349866,0.00191909713792486,0.28394164557219
"S3c",0.463777711053212,0.415533047904689,0.586572953908988,0.0151009600516596,0.112889971460024,0.153798242303558,0.0655177959778777,0.414268644771564,0.0778479366772329,0.131322998858602,0.0113595266612143,0.842560899666571,0.0461185833048053,0.0490462483933336,0.011012916140016,0.00191790556396387,0.249263275859037
"S3d",0.46376287009505,0.415548764973285,0.586624684809364,0.0147728705649772,0.111664351081756,0.146503442109561,0.0647202570274651,0.41505753284878,0.0779685011894726,0.131280188721407,0.0113586237817668,0.842558102050098,0.0461214813601381,0.049058135569216,0.0110010063049258,0.00191666000730407,0.234260892381929
