"Scenario","Agents","PropAgents","Cost","CostpAgent","CostpAgentExcluded","CostpAgentAll","QALY","QALYpAgent","QALYpAgentExcluded","QALYpAgentAll","IncrementalCosts","IncrementalQALY","ICERAdj","ICER","INMB"
"S1NoCDAvg",74390201,1,154526560545.88,2077.24348729586,0,2077.24348729586,932904769.137501,12.5406942930226,0,12.5406942930226,0,0,NA,NA,0
"S1a",74382169,1,166917704937,2244.05535871104,0,2244.05535871104,933238618.638058,12.5465367733234,0,12.5465367733234,166.811871415186,0.00584248030087231,28551.5505101969,28498.5023193921,125.312143628369
"S1b",74386737,1,163918987275.938,2203.60502270638,0,2203.60502270638,933087576.404236,12.5437358060784,0,12.5437358060784,126.361535410521,0.00304151305583034,41545.6166358702,41464.3160568357,25.7141173810232
"S1c",74380210,1,165476605577.339,2224.73969322403,0,2224.73969322403,932875830.259704,12.5419897343622,0,12.5419897343622,147.496205928173,0.00129544133963222,113857.881029216,113937.346793728,-82.7241389466217
"S2NoCD",44169529,0.593754666693265,113773134516.757,2575.82856536136,1348.52812105312,2077.24348729586,541738864.467824,12.2649907466259,12.9436534260283,12.5406942930226,0,0,NA,NA,0
"S2a",44154734,0.593555782972007,119517971594.649,2706.7985868661,1348.52812105312,2154.7374108765,541781896.909873,12.2700749801793,12.9436534260283,12.5438470442093,77.4939235806428,0.00315275118677505,24579.7777844662,25760.0324864108,80.143635757966
"S3NoCD",34502440,0.463803559288676,96697364696.0905,2802.62395054062,1449.79799316861,2077.24348729586,387312972.356076,11.2256690354675,13.6781755381413,12.5406942930226,0,0,NA,NA,0
"S3a",34501084,0.463785331081442,100428493200.773,2910.87935674058,1449.79799316861,2127.42609710976,387409705.579357,11.2289140126541,13.6781755381413,12.5422439706382,50.1826098139018,0.00154967761561053,32382.6125565678,33360.9144148298,27.3012709665345
"S3b",34495213,0.463706409396582,102718833654.254,2977.77067369474,1449.79799316861,2158.32871851145,387416610.863236,11.2310253269993,13.6781755381413,12.5434163004786,81.0852312155962,0.00272200745598994,29788.7616131114,32699.2513596694,55.0151415838627
"S3c",34507426,0.463870584245363,101292949729.643,2935.39569510758,1449.79799316861,2138.92306712061,387556697.997897,11.23111002246,13.6781755381413,12.5430538276955,61.6795798247508,0.00235953467296213,26140.5693807072,24402.1433519508,56.2971538233105
"S3d",34496069,0.463717916288464,101700345888.359,2948.17203340934,1449.79799316861,2144.62088092977,387367057.30157,11.2293101368034,13.6781755381413,12.542592776962,67.3773936339098,0.00189848393939585,35490.1046228241,39973.6424346479,27.546803335892
