"Scenario","PropAgents","ProppPatientYears","ProppCopdPYs","SABAAll","LAMAAll","LAMALABAAll","ICSLAMALABAAll","MildpAgentAll","ModeratepAgentAll","SeverepAgentAll","VerySeverepAgentAll","NoCOPDpPYAll","GOLD1pPYAll","GOLD2pPYAll","GOLD3pPYAll","GOLD4pPYAll","DiagnosedpPYAll"
"S1NoCDAvg",1,1,1,0.0085075442069607,0.0742141460066062,0.0853885596004006,0.04178460377533,0.420858386980296,0.0791699769704884,0.133643509042273,0.0115562263368532,0.842668395891806,0.0460789655588014,0.0490591195696424,0.01096035539689,0.00189309723420174,0.185096726696036
"S1a",1,1,1,0.0124632723194145,0.0875740624791262,0.165965143154663,0.0496500643752167,0.413395207120141,0.0781186648170473,0.132233098987954,0.0114535234729465,0.842555156581377,0.046127997849853,0.0490598717929811,0.0110062994790126,0.00191098466784881,0.463354390023247
"S1b",1,1,1,0.0100233770986659,0.0814428074682548,0.130868252320261,0.046244594606748,0.416183063916657,0.0785595291032552,0.132856419416801,0.0115124656176661,0.842571700030093,0.0460969358186112,0.0490827424197778,0.0110004365688353,0.00190596895050625,0.333245063644886
"S1c",1,1,1,0.00927461703665537,0.0791646030658945,0.117369417595545,0.0449468850602917,0.417848477743949,0.0787957055914101,0.133129166724921,0.0115203659351048,0.842591765942129,0.0461064324082142,0.0490616049916164,0.0109992456443464,0.00189996715549785,0.287325126448819
"S2NoCD",0.59367737156672,0.582439816703334,0.705449124554746,0.0085075442069607,0.0742141460066062,0.0853885596004006,0.04178460377533,0.420858386980296,0.0791699769704884,0.133643509042273,0.0115562263368532,0.842668395891806,0.0460789655588014,0.0490591195696424,0.01096035539689,0.00189309723420174,0.185096726696036
"S2a",0.593612793168821,0.58237276469747,0.705465599707549,0.0102681554314309,0.0805221637109153,0.125067461054832,0.0457161585532918,0.416934702404113,0.0785648882680037,0.132868717984253,0.0115339569690848,0.842659782639377,0.0460639603284476,0.0490541324058384,0.0109834779149896,0.00189758426905739,0.309018257815608
"S3NoCD",0.463802537648742,0.415539630807404,0.586684570791442,0.0085075442069607,0.0742141460066062,0.0853885596004005,0.04178460377533,0.420858386980296,0.0791699769704883,0.133643509042273,0.0115562263368532,0.842668395891806,0.0460789655588014,0.0490591195696424,0.01096035539689,0.00189309723420174,0.185096726696036
"S3a",0.463794646824519,0.415558627636233,0.586381929285517,0.00908799919752348,0.0764294904046259,0.10024232350362,0.0432344512012481,0.419119548614728,0.0788967545203832,0.133161100958683,0.0115140802432609,0.842704079284044,0.0460436334791643,0.0490323574267179,0.0109809140732188,0.00189890621990312,0.229866802011875
"S3b",0.463659723140149,0.415502800744119,0.586861129702625,0.0104363844441048,0.0806607106852262,0.126827718012858,0.045883343698526,0.4163631982413,0.0785212200323295,0.132764731662157,0.0114880164657627,0.842645671137707,0.0460779006443763,0.0490491205319615,0.0109863473268548,0.00189868206763974,0.316591914754797
"S3c",0.4637703828761,0.415597949465345,0.586864773450322,0.00971058547364465,0.078463072625458,0.113858619180885,0.044521870831409,0.417743010071671,0.0787366148028359,0.132951446829594,0.011515338291332,0.842654856828931,0.0460910377172768,0.0490446064968926,0.0109720087728119,0.00189815153774877,0.272899528383258
"S3d",0.463792428790453,0.415536208322191,0.586748758534527,0.00942416283876826,0.0775263857439617,0.107686444570689,0.0439515159244318,0.418162196096339,0.0787893475565952,0.133130026138597,0.0115012470125414,0.842664008640856,0.0460881039435883,0.049041453776714,0.0109732807179715,0.0018955324536462,0.253365194665222
