"Scenario","PropAgents","ProppPatientYears","ProppCopdPYs","SABAAll","LAMAAll","LAMALABAAll","ICSLAMALABAAll","MildpAgentAll","ModeratepAgentAll","SeverepAgentAll","VerySeverepAgentAll","NoCOPDpPYAll","GOLD1pPYAll","GOLD2pPYAll","GOLD3pPYAll","GOLD4pPYAll","DiagnosedpPYAll"
"S1NoCDAvg",1,1,1,0.0085075442069607,0.0742141460066062,0.0853885596004006,0.04178460377533,0.420858386980296,0.0791699769704884,0.133643509042273,0.0115562263368532,0.842668395891806,0.0460789655588014,0.0490591195696424,0.01096035539689,0.00189309723420174,0.185096726696036
"S1a",1,1,1,0.012877025358413,0.0847564889949004,0.147623270262837,0.0480431839848458,0.414656286777547,0.0783188911847946,0.132439052698235,0.011471996736207,0.842657277306883,0.0460762614719394,0.0490355373472329,0.0109841437186215,0.00190473022049935,0.399100325618618
"S1b",1,1,1,0.0109503115210774,0.0795943822810169,0.118314261069415,0.0450632449851071,0.417263254872976,0.0786571670699845,0.132892063809708,0.0115275791704642,0.842640179436944,0.046097751049743,0.0490428912623326,0.0109742047838979,0.00190348968318964,0.293327033832296
"S1c",1,1,1,0.0103912621941808,0.0777807545970915,0.108073376309562,0.0439638819276825,0.41845013613164,0.0787821787542681,0.133201170042408,0.0115234549620121,0.842650381343528,0.046084932869848,0.0490398428728185,0.010975066815539,0.00190854782602562,0.259082558832157
"S2NoCD",0.593754666693265,0.582484022394036,0.704855942947484,0.0085075442069607,0.0742141460066062,0.0853885596004006,0.04178460377533,0.420858386980296,0.0791699769704884,0.133643509042273,0.0115562263368532,0.842668395891806,0.0460789655588014,0.0490591195696424,0.01096035539689,0.00189309723420174,0.185096726696036
"S2a",0.593555782972007,0.582364162825583,0.705226942986386,0.00977389011478724,0.078866113640576,0.115076950384829,0.0447089435839859,0.41767020516689,0.0787297180753892,0.133085592008321,0.0115092952164317,0.842618051086124,0.0461149943914005,0.04905403880538,0.0109716731831581,0.00189978562589428,0.276819650075294
"S3NoCD",0.463803559288676,0.415536699167013,0.585972909389807,0.0085075442069607,0.0742141460066062,0.0853885596004006,0.04178460377533,0.420858386980296,0.0791699769704884,0.133643509042273,0.0115562263368532,0.842668395891806,0.0460789655588014,0.0490591195696424,0.01096035539689,0.00189309723420174,0.185096726696036
"S3a",0.463785331081442,0.415590857690002,0.586397055617021,0.00890570964306779,0.0758134768370538,0.0958051645817516,0.0428592645834844,0.419807997195036,0.0791276625343258,0.133511418235034,0.011527472817901,0.842629182581372,0.0460833350373622,0.0490806484124845,0.0109751195386532,0.00189432879509129,0.216340582545753
"S3b",0.463706409396582,0.415483170720735,0.586579956221669,0.00992166112087788,0.0793152163534873,0.116826256084792,0.045056791550025,0.417965104331153,0.0788403982060059,0.133169689516928,0.0115223069824704,0.842598815887018,0.0460634625327121,0.0490897995170428,0.0109957394443171,0.00191027115225077,0.283293465911305
"S3c",0.463870584245363,0.415695908607775,0.586764474081553,0.00937469196905854,0.0775075965827773,0.106210757586929,0.0439242523522787,0.418977909429579,0.0790118928641192,0.133461562825932,0.0115296432625207,0.842596677264143,0.0460663373836808,0.0491033546106161,0.0109924097696184,0.00190260851369845,0.248643030916189
"S3d",0.463717916288464,0.415515465226285,0.586476069710938,0.00914741053766355,0.0766454266348519,0.101353944725138,0.0433975984448693,0.419375728567917,0.0790195366772816,0.133465575182192,0.0115216354350996,0.842611392911169,0.046080346086825,0.0490949897300225,0.0109745543435215,0.00189718223199519,0.233605212323434
