"Scenario","Agents","Cost","CostpAgent","QALY","QALYpAgent","ICER","IncrementalNMB"
"S1a",74380275,181401075128.178,2438.8330794445,934239601.55953,12.560313894504,19152.7317138316,468.35361333855
"S3b",34499539,110363699543.429,3198.99055878484,388038736.167987,11.2476498937562,19837.7340923965,463.796909188153
"S2a",44164773,127735308298.483,2892.24419422426,542449119.230119,12.2823934639066,20737.2033810468,322.93531460769
"S1b",74383024,175747140583.673,2362.73185913594,933787724.01465,12.5537746894325,24838.024508073,217.494580070954
"S3c",34496334,107627143927.157,3119.95888975209,387776879.328762,11.2411040352509,25592.925116818,215.53565295611
"S3d",34507664,108255487965.337,3137.14333040154,387911627.531503,11.2413180889759,26887.1518929379,209.053898558952
"S3a",34507415,106095806862.256,3074.57996671892,387796822.974073,11.2380722512559,31147.8193918049,109.325376242166
"S1c",74393892,177409072797.107,2384.72632668697,933746980.213024,12.5513930661542,37796.7045192932,76.4189486047253
"S1NoCD",74388747,159789813677.717,2148.0374400945,933216569.304974,12.5451309094502,NA,0
"S2NoCD",44156404,117605933754.634,2663.39473102553,541859031.247822,12.2713577683505,NA,0
"S3NoCD",34500334,99842281257.7915,2893.95115009007,387517175.854486,11.2322731673985,NA,0
