"Scenario","Agents","Cost","CostpAgent","QALY","QALYpAgent","ICER","IncrementalNMB"
"S3b",34509196,107308147372.611,3109.55222986393,388040453.250984,11.2445521260763,16319.0336611223,434.092379246256
"S1a",74386318,175298229824.161,2356.5923752828,934033198.37721,12.5565187724066,19145.7366308898,330.199341633706
"S2a",44154576,124844786046.661,2827.44841772824,542208652.492346,12.2797839230151,17185.879192054,304.574798727059
"S3c",34504471,105270593424.191,3050.92616618268,387852045.425155,11.2406315525068,16916.049337496,296.689764450537
"S3d",34501231,105602366017.679,3060.82893151492,387776869.087764,11.2395082102364,20600.8589166803,230.619885601802
"S1b",74385413,170952563916.074,2298.20010431446,933637486.50531,12.551351788627,26468.9578303756,130.242423621356
"S3a",34494037,104115381915.72,3018.35885187112,387590904.424574,11.2364610852761,24833.0802794382,120.733717229101
"S1c",74390720,171904343831.839,2310.83048842435,933570750.279375,12.5495592767401,42521.8072883671,27.9864451647736
"S1NoCD",74388425,160061317735.961,2151.6965540803,933263557.234494,12.5458168691499,NA,0
"S2NoCD",44157029,117807957834.59,2667.93216170838,541828917.159047,12.2705021019201,NA,0
"S3NoCD",34491937,99999943602.2554,2899.22666860534,387401839.065729,11.2316637672662,NA,0
