"Scenario","Agents","PropAgents","Cost","CostpAgent","CostpAgentExcluded","CostpAgentAll","QALY","QALYpAgent","QALYpAgentExcluded","QALYpAgentAll","IncrementalCosts","IncrementalQALY","ICERAdj","ICER","INMB"
"S1NoCDAvg",74388586,1,159925565706.839,2149.86699312767,0,2149.86699312767,932813979.78259,12.5397460812414,0,12.5397460812414,0,0,NA,NA,0
"S1a",74386318,1,175298229824.161,2356.5923752828,0,2356.5923752828,933114769.757555,12.5441720311732,0,12.5441720311732,206.725382155124,0.00442594993177714,46707.5735924826,49922.8867922169,14.572114433744
"S1b",74385413,1,170952563916.074,2298.20010431446,0,2298.20010431446,932959011.793074,12.5422307165664,0,12.5422307165664,148.33311118679,0.0024846353249437,59700.1538606681,67733.7863611725,-24.1013449396705
"S1c",74390720,1,171904343831.839,2310.83048842435,0,2310.83048842435,932972380.189837,12.5415156647205,0,12.5415156647205,160.963495296681,0.00176958347909029,90961.2330803574,109908.249280705,-72.4843213421991
"S2NoCD",44157029,0.593599520765188,117807957834.59,2667.93216170838,1393.16700996411,2149.86699312767,541507456.212879,12.2632221523074,12.9436444034196,12.5397460812414,0,0,NA,NA,0
"S2a",44154576,0.59356654527618,124844786046.661,2827.44841772824,1393.16700996411,2244.50847012452,541668367.876313,12.2675477141104,12.9436444034196,12.5423360272737,94.6414769968451,0.0025899460322627,36541.8722312765,36877.581059697,34.855824616272
"S3NoCD",34491937,0.463672437596811,99999943602.2554,2899.22666860534,1502.02143805571,2149.86699312767,387141750.418356,11.2241232035868,13.6771443978725,12.5397460812414,0,0,NA,NA,0
"S3a",34494037,0.46370066773416,104115381915.72,3018.35885187112,1502.02143805571,2205.14810935221,387255176.847052,11.2267281689021,13.6771443978725,12.5408847562723,55.2811162245339,0.00113867503088017,48548.6330387021,45732.7330108349,1.65263531950768
"S3b",34509196,0.463904448997054,107308147372.611,3109.55222986393,1502.02143805571,2247.7621242753,387545996.216555,11.2302238573322,13.6771443978725,12.5420070727736,97.8951311476294,0.00226099153216808,43297.4337828489,34475.9053760666,15.1544454607647
"S3c",34504471,0.463840931188019,105270593424.191,3050.92616618268,1502.02143805571,2220.46684947165,387439706.531714,11.228681249213,13.6771443978725,12.5414469710187,70.5998563439753,0.00170088977730387,41507.6022479746,33281.6979072271,14.4446325212484
"S3d",34501231,0.463797376118965,105602366017.679,3060.82893151492,1502.02143805571,2224.99226339667,387400039.510324,11.2285860035059,13.6771443978725,12.5415094392912,75.1252702689999,0.00176335804977867,42603.5258570596,36210.9585552116,13.0426322199637
