"Scenario","PropAgents","ProppPatientYears","ProppCopdPYs","SABAAll","LAMAAll","LAMALABAAll","ICSLAMALABAAll","MildpAgentAll","ModeratepAgentAll","SeverepAgentAll","VerySeverepAgentAll","NoCOPDpPYAll","GOLD1pPYAll","GOLD2pPYAll","GOLD3pPYAll","GOLD4pPYAll","DiagnosedpPYAll"
"S1NoCDAvg",1,1,1,0.0190087794566075,0.135471771099978,0.151290195343514,0.0796020772877996,0.413782863019206,0.0774553947202378,0.130389223834769,0.0112632844525806,0.842599638409618,0.046091766851725,0.0490657802834767,0.0109902872013995,0.00190873515974956,0.186007135168575
"S1a",1,1,1,0.0264129670304063,0.159435537704009,0.310049787431074,0.0943011814813817,0.400733319767278,0.0756570523768302,0.12787617648766,0.0110773590734583,0.842396438441783,0.046107470726434,0.0491632764596596,0.0110600304517264,0.00193027101638251,0.464626221589564
"S1b",1,1,1,0.0216055253670271,0.148060357940042,0.240495980498854,0.0875940938594751,0.405990262060088,0.0763712808406,0.128937839397539,0.0111722226350007,0.842428092026923,0.0461200603625631,0.0491383508538841,0.0110450824446697,0.0019243970545918,0.334053051708208
"S1c",1,1,1,0.0201493499699737,0.144241287100822,0.214385540584314,0.085209295309033,0.407947954891178,0.0766530888642384,0.129489210724663,0.0112076760636524,0.842538166986253,0.0460584214654526,0.0491005034611762,0.0110279779725777,0.00192817614834111,0.288617682950729
"S2NoCD",0.593556763930821,0.582309685946903,0.705357761730891,0.0190087794566075,0.135471771099978,0.151290195343514,0.0796020772877996,0.413782863019206,0.0774553947202378,0.130389223834769,0.0112632844525806,0.842599638409618,0.046091766851725,0.0490657802834767,0.0109902872013995,0.00190873515974956,0.186007135168575
"S2a",0.593535928947491,0.582469204763036,0.706205579755609,0.0223350819017627,0.146861435551105,0.229046748962462,0.0868671748983432,0.40717154949026,0.0764348498798735,0.129245718868216,0.0111517123369551,0.842521478413868,0.0460676071299697,0.0490956905759404,0.0110472695587943,0.00192542928407099,0.310401264733618
"S3NoCD",0.463572330217334,0.415367575216711,0.586199735331415,0.0190087794566075,0.135471771099978,0.151290195343514,0.0796020772877996,0.413782863019206,0.0774553947202378,0.130389223834769,0.0112632844525806,0.842599638409618,0.046091766851725,0.0490657802834767,0.0109902872013995,0.00190873515974956,0.186007135168575
"S3a",0.463627818482614,0.415521682993537,0.587418330972747,0.020135761944108,0.139262558345173,0.180514922789748,0.0822286518533507,0.41091282114974,0.0771068690707244,0.130110991228192,0.0112307468065051,0.842479359257107,0.0461006199327869,0.0491419221040822,0.0110143369803305,0.00191704201835805,0.230684563840532
"S3b",0.463695135641656,0.415568309564907,0.587233190193687,0.022688346451263,0.146674288242097,0.23269825950894,0.087000110491251,0.406420061933482,0.0764673667010533,0.129141145874287,0.0111893784669518,0.842504903342492,0.0460727197764389,0.0491258682896983,0.011035402357133,0.00191563803310912,0.31741923502635
"S3c",0.463734789319606,0.415536541294178,0.58767782317134,0.0213351323942394,0.142951005888522,0.207202321894185,0.0845726197929377,0.408416061307295,0.0768438830632355,0.129544969634437,0.0111987434083334,0.842454283191634,0.0461336208713429,0.049131868036605,0.0110135739715596,0.00192049474425886,0.273951977879277
"S3d",0.463756430818419,0.415604987692288,0.587558132403041,0.0207663794232776,0.141381171887563,0.195210605479162,0.0835996238319034,0.409497721665754,0.0769666360150598,0.129714362011153,0.0112324729853736,0.842472623948323,0.0461088404884722,0.0491357216371956,0.0110219486609554,0.00191644348636688,0.254304413340487
