"Scenario","PropAgents","ProppPatientYears","ProppCopdPYs","SABAAll","LAMAAll","LAMALABAAll","ICSLAMALABAAll","MildpAgentAll","ModeratepAgentAll","SeverepAgentAll","VerySeverepAgentAll","NoCOPDpPYAll","GOLD1pPYAll","GOLD2pPYAll","GOLD3pPYAll","GOLD4pPYAll","DiagnosedpPYAll"
"S1NoCDAvg",1,1,1,0.0190087794566075,0.135471771099978,0.151290195343514,0.0796020772877996,0.413782863019206,0.0774553947202378,0.130389223834769,0.0112632844525806,0.842599638409618,0.046091766851725,0.0490657802834767,0.0109902872013995,0.00190873515974956,0.186007135168575
"S1a",1,1,1,0.027780056749288,0.154140998252729,0.273217272186502,0.0911565534267491,0.403047226128249,0.0760263148853383,0.12840956363145,0.0111267149068236,0.842461254812893,0.0461118957155039,0.049118855485952,0.0110334546540076,0.00192729365384067,0.399988053390932
"S1b",1,1,1,0.024055343673977,0.144780213608532,0.215751485560705,0.085624747115764,0.408631980264935,0.0767122278432579,0.129370859426918,0.0112158820542419,0.8424572166305,0.0461045345921089,0.0491178381114376,0.0110465138362427,0.00192862473289225,0.294526778968184
"S1c",1,1,1,0.0229349137974298,0.142216288837683,0.196258740261527,0.0839633650967104,0.409231958715491,0.0769956856216946,0.129978355787239,0.0112124528453459,0.842487284544981,0.0461078639931604,0.0491352633754891,0.0110153793798817,0.00191157483979592,0.26029455677229
"S2NoCD",0.593443287202261,0.582273174807522,0.705545677347615,0.0190087794566075,0.135471771099978,0.151290195343514,0.0796020772877996,0.413782863019206,0.0774553947202378,0.130389223834769,0.0112632844525806,0.842599638409618,0.046091766851725,0.0490657802834767,0.0109902872013995,0.00190873515974956,0.186007135168575
"S2a",0.593535633225147,0.582295847461883,0.706034831690326,0.0214260856128922,0.143399662052018,0.208913322432459,0.0847853184386878,0.407655221861622,0.0767470760900907,0.129218216541159,0.011199194631369,0.842544394644732,0.046094763613817,0.0491127745862289,0.0109897656237673,0.00191086601779681,0.277612135628334
"S3NoCD",0.463868670889904,0.415635368247289,0.587073562742789,0.0190087794566075,0.135471771099978,0.151290195343514,0.0796020772877996,0.413782863019206,0.0774553947202378,0.130389223834769,0.0112632844525806,0.842599638409618,0.046091766851725,0.0490657802834767,0.0109902872013995,0.00190873515974956,0.186007135168575
"S3a",0.463789632372499,0.415622940758265,0.586809647097927,0.0197696669249095,0.138028597361208,0.171429592848262,0.081236444450917,0.411287856148879,0.07722846001244,0.130038331526943,0.0112026643175846,0.842626066479021,0.0461014349785822,0.0490229859734682,0.0109954420436182,0.00190926922852537,0.216839145396673
"S3b",0.463662364229167,0.415627753354033,0.587309552953142,0.0217273072426316,0.144075656740584,0.212315561616708,0.085323826327292,0.407654369789789,0.0766217806454282,0.129340579136661,0.0111730977587919,0.84257351681126,0.0461000010925949,0.0490636336910152,0.0110096977534996,0.00191076692651309,0.284092335789576
"S3c",0.463642228225923,0.415569605134916,0.587621281450251,0.0206710534473348,0.140931536559447,0.191763032350927,0.08324285525963,0.409917216243935,0.07702129939584,0.12970969386912,0.0111986612734943,0.842538118936641,0.0460823834781866,0.0491061374122304,0.0110204077894173,0.00191447077751689,0.249320504213185
"S3d",0.463900420716114,0.415712328288473,0.587409792818855,0.0202416660684579,0.139590000283801,0.18228853527996,0.0822922365025336,0.410444613492492,0.077025066408215,0.129808877075041,0.0112098048644388,0.842570046688464,0.0461323938488098,0.0490485515602565,0.0110024025072699,0.00190357830414835,0.234231338952332
