"Scenario","Agents","Cost","CostpAgent","QALY","QALYpAgent","ICER","IncrementalNMB"
"S1a",37195779,90753454325.5885,2439.88583558335,466710528.785287,12.5474056823837,34372.2798098499,133.114292166545
"S2a",22077788,63840415722.8595,2891.61286098315,270883900.09493,12.2695217516778,37847.2019278165,74.3289394123713
"S1NoCD",37196486,79864892644.739,2147.10853720803,466402566.389403,12.5388878505728,NA,0
"S2NoCD",22078563,58731887920.9201,2660.13181749736,270758372.074819,12.2634055520198,NA,0
"S3NoCD",17243525,49933527333.6569,2895.78420500779,193546782.762299,11.2243165340207,NA,0
"S3a",17245589,53097071420.885,3078.87839730408,193630822.054665,11.2278462657706,51871.9849740528,-6.60760479839519
"S3b",17248093,55163743514.5954,3198.251743807,193698483.397538,11.2301390882771,51947.5689668394,-11.3398259775713
"S1b",37200476,87878153021.8125,2362.2857143498,466602621.887519,12.5429207380981,53355.6107865744,-13.5328008807264
"S3d",17250373,54140141633.3456,3138.49107108267,193684186.470557,11.2278259995049,69157.7868949762,-67.2335918624885
"S3c",17249568,53820717605.7799,3120.11973898592,193662077.976417,11.2270682939084,81524.385531405,-86.7475395910442
"S1c",37192813,88797560537.4716,2387.49245821959,466450152.720691,12.5414055860924,95476.2401140166,-114.497145032277
