"Scenario","PropAgents","ProppPatientYears","ProppCopdPYs","SABAAll","LAMAAll","LAMALABAAll","ICSLAMALABAAll","MildpAgentAll","ModeratepAgentAll","SeverepAgentAll","VerySeverepAgentAll","NoCOPDpPYAll","GOLD1pPYAll","GOLD2pPYAll","GOLD3pPYAll","GOLD4pPYAll","DiagnosedpPYAll"
"S1NoCDAvg",1,1,1,0.0190054480592189,0.135525209776227,0.151370804301967,0.0796683236130306,0.414111621909307,0.0774707224573404,0.130409899174586,0.0112712251312318,0.842560505721972,0.0460766506618468,0.0491056269425201,0.0110052752811752,0.00190817099901409,0.186144586802432
"S1a",1,1,1,0.0264033138925038,0.159301806617728,0.309994647139887,0.0940913632177455,0.400846084529803,0.0756315299990488,0.127733286815624,0.011087348090606,0.842364170321789,0.046129034765383,0.0491766451495284,0.011049622312511,0.00193589729339196,0.464833027470088
"S1b",1,1,1,0.0216397994557794,0.148234153545285,0.240652126036194,0.087794730719482,0.405907939424458,0.0764086574377509,0.129012461230401,0.0111605841676993,0.842479484739466,0.0460932357315975,0.0491198733047791,0.0110443784905514,0.00192158664025428,0.334294602837872
"S1c",1,1,1,0.0201516811202333,0.144110984990596,0.214191162065294,0.0851719901555341,0.407967793915124,0.0766466687883462,0.129330321903309,0.0111360755262005,0.842511866298224,0.0461015049376835,0.0491018031400455,0.0110240858181335,0.00191735547661239,0.288407573923277
"S2NoCD",0.593591118938596,0.582365621911992,0.705116455867408,0.0190054480592189,0.135525209776227,0.151370804301967,0.0796683236130306,0.414111621909307,0.0774707224573404,0.130409899174586,0.0112712251312318,0.842560505721972,0.0460766506618468,0.0491056269425201,0.0110052752811752,0.00190817099901409,0.186144586802432
"S2a",0.593703622757395,0.582561633495118,0.706249983323194,0.0223572293275455,0.146520275764833,0.228783458335563,0.0867962070990575,0.406907175011621,0.0764857628938958,0.129161959754734,0.0111849702484567,0.842453436358219,0.0460995130135702,0.049162136254093,0.0110232564059888,0.00191909420686546,0.310203001792548
"S3NoCD",0.46378531781744,0.415568056211066,0.586617239472126,0.0190054480592189,0.135525209776227,0.151370804301967,0.0796683236130306,0.414111621909307,0.0774707224573404,0.130409899174586,0.0112712251312318,0.842560505721972,0.0460766506618468,0.0491056269425201,0.0110052752811752,0.00190817099901409,0.186144586802432
"S3a",0.463880507151998,0.415699320053362,0.586708781881545,0.0201156015599614,0.139591817454275,0.180822991967125,0.0824771154683174,0.410893918376555,0.0771596359153628,0.13002154727965,0.0112567726274374,0.842566021780609,0.0460728067506646,0.0490891975121309,0.0110179222026286,0.00191286787636638,0.231194614752874
"S3b",0.463774630694015,0.415673744808273,0.587660544823951,0.022703218559012,0.147101677876022,0.233250693892965,0.0873282101842993,0.406897958993362,0.0765657243606348,0.12916424164248,0.0111938516834175,0.84245733212396,0.0460718832826625,0.0491420777172941,0.0110558113255998,0.00192827941971036,0.318156004167639
"S3c",0.463731546127251,0.415538305063213,0.587311603486886,0.0213261904240776,0.143268049986543,0.207485881195491,0.0848645010202161,0.409017522509301,0.0768424095578439,0.12956240035588,0.0112182155362607,0.842485614704402,0.0460621493958521,0.0491521297235465,0.0110349049383035,0.00192076633511325,0.274243522611208
"S3d",0.463883854439712,0.415752092299157,0.587221087548919,0.0207546147301295,0.141567271736428,0.195481611880112,0.0837050652172602,0.40984416843231,0.0769796311184294,0.1297896347637,0.0112424293950455,0.842510845247546,0.0460587342353947,0.0491389891816906,0.0110270863763496,0.00192123076545521,0.254532916078862
