"Scenario","Agents","Cost","CostpAgent","QALY","QALYpAgent","ICER","IncrementalNMB"
"S1NoCD",74388425,160061317735.961,2151.6965540803,932675717.635555,12.5379145698481,NA,0
"S2NoCD",44157029,117807957834.59,2667.93216170838,541387058.854761,12.2604955794186,NA,0
"S3NoCD",34491937,99999943602.2554,2899.22666860534,387044338.939967,11.2212990224343,NA,0
"S3d",34501231,105602366017.679,3060.82893151492,387258904.837192,11.2244952893765,50559.6891101007,-1.78891580039635
"S3c",34504471,105270593424.191,3050.92616618268,387285272.489227,11.2242054801891,52193.9454746539,-6.37660983845126
"S3a",34494037,104115381915.72,3018.35885187112,387129436.181306,11.2230828818705,66783.3915914365,-29.9392114602961
"S3b",34509196,107308147372.611,3109.55222986393,387360806.316069,11.2248574645457,59106.0791995802,-32.4034556926927
"S2a",44154576,124844786046.661,2827.44841772824,541466014.087624,12.2629648643353,64600.1824018778,-36.0520101857837
"S1b",74385413,170952563916.074,2298.20010431446,932704901.413961,12.5388145847084,162779.034763924,-101.502807218698
"S1a",74386318,175298229824.161,2356.5923752828,932770789.000956,12.5395477835179,125455.612451789,-123.235137715121
"S1c",74390720,171904343831.839,2310.83048842435,932748271.542026,12.5385030759485,270403.20268132,-129.708629324334
