"Scenario","Agents","PropAgents","Cost","CostpAgent","CostpAgentExcluded","CostpAgentAll","QALY","QALYpAgent","QALYpAgentExcluded","QALYpAgentAll","IncrementalCosts","IncrementalQALY","ICERAdj","ICER","INMB"
"S1NoCDAvg",37197054,1,92902829112.159,2497.58563845852,0,2497.58563845852,529963816.816132,14.247467277715,0,14.247467277715,0,0,NA,NA,0
"S1a",37195779,1,105211197488.536,2828.57894946994,0,2828.57894946994,530667768.51192,14.2668814252262,0,14.2668814252262,330.993311011421,0.0194141475112133,17049.0777831087,16519.7451075161,639.714064549189
"S1b",37200476,1,101909010383.134,2739.45447319368,0,2739.45447319368,530366539.389009,14.2569826092819,0,14.2569826092819,241.868834735153,0.00951533156687745,25418.8551429033,23772.8084339458,233.897743608686
"S1c",37192813,1,102900329677.61,2766.67241269463,0,2766.67241269463,530129569.91612,14.2535486604931,0,14.2535486604931,269.086774236103,0.00608138277808301,44247.6298656743,39724.2728141054,34.9823646679288
"S2NoCD",22078563,0.593556763930821,67978101358.6265,3078.91873935031,1648.62536568845,2497.58567203088,307350490.064811,13.9207651360648,14.7245731568925,14.2474674692284,0,0,NA,NA,0.00954209663905203
"S2a",22077788,0.593535928947491,73774185782.3801,3341.55694322185,1648.62536568845,2653.44108220428,307671897.941364,13.9358117734151,14.7245731568925,14.2564149364324,155.855410173398,0.00894746720397599,17418.9417653456,17454.943437303,291.527492122143
"S3NoCD",17243525,0.463572330217334,57710008551.5133,3346.76399120907,1763.73916416718,2497.58567203088,218436256.441118,12.6677263750375,15.6126548028178,14.2474674692284,0,0,NA,NA,0.00954209663905203
"S3a",17245589,0.463627818482614,61268007224.7443,3552.67699031586,1763.73916416718,2593.14050590552,218598437.880415,12.6756144936781,15.6126548028178,14.2509612114958,95.5548338746426,0.0034937422674215,27350.281320312,26104.1965124738,79.1418215930462
"S3b",17248093,0.463695135641656,63624999198.9553,3688.81355167527,1763.73916416718,2656.38679340302,218793326.615176,12.6850734521883,15.6126548028178,14.2551495713357,158.801121372141,0.00768210210727993,20671.5712905785,19717.9938436719,225.313526088488
"S3c",17249568,0.463734789319606,62103127614.4747,3600.27147430444,1763.73916416718,2615.40308808733,218692117.107242,12.6781213945325,15.6126548028178,14.2518095709752,117.817416056453,0.00434210174683614,27133.7299136991,24387.3985246826,99.2972133819712
"S3d",17250373,0.463756430818419,62445799073.8093,3619.96804786826,1763.73916416718,2624.57724605445,218689857.965539,12.6773987997557,15.6126548028178,14.2514109552994,126.99157402357,0.00394348607098927,32202.8712001289,28245.6637934493,70.1922716225963
