"Scenario","Agents","PropAgents","Cost","CostpAgent","CostpAgentExcluded","CostpAgentAll","QALY","QALYpAgent","QALYpAgentExcluded","QALYpAgentAll","IncrementalCosts","IncrementalQALY","ICERAdj","ICER","INMB"
"S1NoCDAvg",37197054,1,92902829112.159,2497.58563845852,0,2497.58563845852,529963816.816132,14.247467277715,0,14.247467277715,0,0,NA,NA,0
"S1a",37197502,1,101593628148.474,2731.19491057422,0,2731.19491057422,530443726.842454,14.2601975488153,0,14.2601975488153,233.609272115697,0.0127302711003274,18350.6910634203,19321.3408439935,402.904282900621
"S1b",37190655,1,99147551250.5217,2665.92646057247,0,2665.92646057247,530160005.562289,14.25519409546,0,14.25519409546,168.340822113943,0.00772681774494544,21786.5656562256,23817.8907300768,218.000065133208
"S1c",37195162,1,99801217926.1646,2683.17739619375,0,2683.17739619375,530199954.883661,14.2545408159174,0,14.2545408159174,185.591757735224,0.00707353820241785,26237.4716053397,29000.466644741,168.08515238564
"S2NoCD",22074342,0.593443287202261,68198452610.1151,3089.48971661829,1633.59432501551,2497.58567203088,307327847.064593,13.9224012686128,14.7219605684178,14.2474674692284,0,0,NA,NA,0.00954209663905203
"S2a",22077777,0.593535633225147,72055390303.5079,3263.70677190497,1633.59432501551,2601.12414840824,307521349.116734,13.9289996957907,14.7219605684178,14.2513100347603,103.538476377359,0.00384256553190099,26945.1426443563,26402.8154878035,88.5993423145264
"S3NoCD",17254548,0.463868670889904,57864310923.5952,3353.56863150488,1756.97669031985,2497.58567203088,218572819.44283,12.6675482570062,15.6144366898173,14.2474674692284,0,0,NA,NA,0.00954209663905203
"S3a",17251608,0.463789632372499,60089152167.6302,3483.1044252588,1756.97669031985,2557.53683793516,218633446.064064,12.673221305751,15.6144366898173,14.2503314881129,59.9511659042805,0.00286401888446441,20932.5316356954,22833.5414662006,83.2593204156728
"S3b",17246874,0.463662364229167,61869748507.0021,3587.30216890331,1756.97669031985,2605.62972902874,218763932.889481,12.6842657335747,15.6144366898173,14.2558266966502,108.044056997856,0.00835922742183648,12925.1247209302,13981.3886647681,309.926856190665
"S3c",17246125,0.463642228225923,60807623937.5119,3525.87169219241,1756.97669031985,2577.11111048574,218659411.906197,12.6787560629531,15.6144366898173,14.2533311826183,79.5254384548625,0.00586371338991931,13562.2997180558,15373.4871485144,213.669773137779
"S3d",17255729,0.463900420716114,60941413667.9918,3531.66265348696,1756.97669031985,2580.25425527205,218712958.12271,12.674802561092,15.6144366898173,14.2507391807502,82.6685832411708,0.00327171152181194,25267.6871692488,24550.1180919973,80.9265349460766
