"Scenario","Agents","Cost","CostpAgent","QALY","QALYpAgent","ICER","IncrementalNMB"
"S1a",37195779,78988588612.6422,2123.59011522899,415048182.916947,11.1584753451984,17747.5307178108,472.202777481987
"S3b",17248093,48252461324.4413,2797.5534063065,173460430.655696,10.0567889247638,21108.541216104,369.460355993011
"S2a",22077788,55740228536.7613,2524.71980149285,241147117.181689,10.9226122282581,18822.0679953945,341.125634805998
"S1b",37200476,76461197768.4769,2055.38224211101,414832041.59623,11.1512562795226,25820.1061500554,179.457366812276
"S3c",17249568,47056539449.2717,2727.98364859176,173385532.23841,10.0515869289254,26412.7104978867,178.930321786494
"S3d",17250373,47356022542.0812,2745.21730875508,173385479.345343,10.0511147988129,30588.2720787578,138.090156000166
"S3a",17245589,46423704300.026,2691.91758542001,173312928.019824,10.0496960712576,28849.3323169204,120.453501571319
"S1c",37192813,77318972105.8953,2078.86862727741,414653652.849152,11.1487574991747,43696.5076013981,31.0319642502582
"S1NoCD",37196486,69325010795.5079,1863.75161340531,414511484.695074,11.1438345196123,NA,0
"S2NoCD",22078563,51195392088.1397,2318.78279796288,240914015.067657,10.9116709754913,NA,0
"S3NoCD",17243525,43585079096.4942,2527.62002528452,173193983.206107,10.0440010500235,NA,0
