"Scenario","Agents","Cost","CostpAgent","QALY","QALYpAgent","ICER","IncrementalNMB"
"S3b",17246874,46894607074.7492,2719.02068019684,173436965.103661,10.0561391649096,15217.323252373,426.192290198756
"S3c",17246125,46057749842.9718,2670.61440427759,173359596.803533,10.0520897768938,16828.1458359742,272.12916532933
"S1a",37197502,76233049354.3059,2049.41313947119,414888345.892525,11.1536614983588,20898.9319414247,254.301581696956
"S3d",17255729,46194581774.0476,2677.05767597808,173405973.100478,10.0491826859635,27281.0781644868,120.331347111147
"S1b",37190655,74352383548.6806,1999.22221183468,414673206.381945,11.149930174178,26448.8469858668,117.926300293999
"S2a",22077777,54432158311.1104,2465.47278338351,241039404.019419,10.9177388656212,27839.4064652496,110.415422556223
"S3a",17251608,45514928489.8059,2638.30064361571,173345067.882346,10.0480527891862,25377.3255781984,102.593540607544
"S1c",37195162,74927136725.5007,2014.43232658862,414704948.175006,11.1494325034801,32740.5618588505,77.8326506416779
"S1NoCD",37197623,69440018935.1755,1866.78645931692,414564641.630319,11.1449229331218,NA,0
"S2NoCD",22074342,51361753549.0855,2326.76260742384,240891915.913164,10.9127563536509,NA,0
"S3NoCD",17254548,43698225565.3525,2532.56275188156,173302715.863562,10.0438861605393,NA,0
