"Scenario","Agents","PropAgents","Cost","CostpAgent","CostpAgentExcluded","CostpAgentAll","QALY","QALYpAgent","QALYpAgentExcluded","QALYpAgentAll","IncrementalCosts","IncrementalQALY","ICERAdj","ICER","INMB"
"S1NoCDAvg",743240,1,1599466442.87706,2152.02023422741,0,2152.02023422741,9319094.51705835,12.5384812258476,0,12.5384812258476,0,0,NA,NA,0
"S1a",743762,1,1807321434.83846,2429.97280694423,0,2429.97280694423,9340233.85530066,12.5580950025689,0,12.5580950025689,277.952572716826,0.0196137767213287,14171.2927941395,13791.1236349594,702.736263349652
"S1b",744327,1,1760175402.83981,2364.78779197827,0,2364.78779197827,9341640.30501645,12.5504520258118,0,12.5504520258118,212.767557750861,0.0119707999642475,17773.8796393158,17035.3761277701,385.772440461558
"S1c",744352,1,1784618220.32831,2397.54608079015,0,2397.54608079015,9343139.19729031,12.5520441905044,0,12.5520441905044,245.525846562744,0.0135629646567761,18102.6680210421,17438.1887711697,432.62238627614
"S2NoCD",441551,0.594089392390076,1172222126.7872,2654.78308686244,1416.17465698074,2152.01878649839,5415116.03082896,12.2638518106152,12.9404071286304,12.5384727908325,0,0,NA,NA,-0.420303025166504
"S2a",441650,0.594222592971315,1270487698.90989,2876.6844761913,1416.17465698074,2284.04258881211,5428809.94726154,12.2921090167815,12.9404071286304,12.5551737435891,132.023802313721,0.0167009527566417,7905.16590505393,7852.91327186469,702.603532493114
"S3NoCD",345450,0.464789300898768,1009751816.93146,2923.00424643643,1482.47725167953,2152.01878649839,3878935.36024923,11.2286448407851,13.6759575575281,12.5384727908325,0,0,NA,NA,-0.420303025166504
"S3a",344340,0.463295839836392,1058616300.17421,3074.33437931758,1482.47725167953,2219.97803652814,3873042.79408961,11.2477283908045,13.6759575575281,12.5509690864157,67.9592500297554,0.0124962955831744,5438.35167609661,7929.87325355512,556.435226103757
"S3b",344561,0.463593186588451,1098068655.74354,3186.86286533746,1482.47725167953,2272.61880949072,3875122.85331643,11.2465509831828,13.6759575575281,12.5497012222084,120.600022992331,0.0112284313759279,10740.5940290894,14735.6484184054,440.401242778869
"S3c",345148,0.464382971852968,1069636233.26244,3099.0654248683,1482.47725167953,2233.19327180729,3879670.64576857,11.2406001071093,13.6759575575281,12.5450190271784,81.1744853089012,0.00654623634587814,12400.1763792126,14726.6630167767,245.717028959771
"S3d",344912,0.464065443194661,1075013391.1131,3116.77584750051,1482.47725167953,2240.8987538616,3876329.07699014,11.2386031132293,13.6759575575281,12.5448655871121,88.8799673632161,0.00639279627961464,13903.1440195641,19458.3550662101,230.339543592301
