"Scenario","Agents","PropAgents","Cost","CostpAgent","CostpAgentExcluded","CostpAgentAll","QALY","QALYpAgent","QALYpAgentExcluded","QALYpAgentAll","IncrementalCosts","IncrementalQALY","ICERAdj","ICER","INMB"
"S1NoCDAvg",743240,1,1599466442.87706,2152.02023422741,0,2152.02023422741,9319094.51705835,12.5384812258476,0,12.5384812258476,0,0,NA,NA,0
"S1a",744354,1,1752926443.39834,2354.9634225091,0,2354.9634225091,9349016.46507307,12.5599062610976,0,12.5599062610976,202.943188281697,0.0214250352500525,9472.24524548683,9739.52671379255,868.308574220981
"S1b",744122,1,1719863654.06364,2311.26569845219,0,2311.26569845219,9342006.34806942,12.5544014933968,0,12.5544014933968,159.24546422478,0.0159202675492143,10002.6876892932,10379.5308718723,636.76791323605
"S1c",744408,1,1712210641.20513,2300.09704517567,0,2300.09704517567,9338064.80100078,12.5442832438673,0,12.5442832438673,148.076810948266,0.00580201801972002,25521.6048011192,27838.8988583494,142.024090037681
"S2NoCD",441928,0.594596630967117,1179924911.30067,2669.94829768802,1392.38241947347,2152.01878649839,5422978.6814283,12.2711814626552,12.9305033839676,12.5384727908325,0,0,NA,NA,-0.420303025166504
"S2a",441121,0.593510844410957,1240789795.37482,2812.81053356068,1392.38241947347,2235.42190889044,5419996.18206155,12.2868695484041,12.9305033839676,12.5484997227308,83.4031223920488,0.0100269318983202,8317.91052714954,9106.41605100488,417.523169498658
"S3NoCD",344713,0.463797696571767,996287204.259924,2890.19330358856,1513.52163998208,2152.01878649839,3873367.02283682,11.2364982545968,13.6646387678163,12.5384727908325,0,0,NA,NA,-0.420303025282919
"S3a",344831,0.46395646090092,1045268641.76816,3031.24905176206,1513.52163998208,2217.68107856383,3874090.79376063,11.2347520778603,13.6646387678163,12.537277138754,65.6622920654436,-0.00119565207846151,-54917.5577480147,-80779.7660010346,-125.865199013846
"S3b",344259,0.463186857542651,1074556989.46394,3121.36208338471,1513.52163998208,2258.25220239173,3874191.46840682,11.2537115032775,13.6646387678163,12.5479289443907,106.233415893338,0.00945615355817964,11234.315860009,13429.7008126595,366.153958990239
"S3c",344359,0.463321403584307,1045425868.9811,3035.86045081181,1513.52163998208,2218.85379454657,3873257.3819632,11.2477309492803,13.6646387678163,12.5448336449983,66.8350080481869,0.0063608541657949,10507.23791273,12968.1391089192,250.787397216191
"S3d",343958,0.462781873957268,1047428797.5417,3045.22295612167,1513.52163998208,2222.36524540797,3863482.72377961,11.23242583042,13.6646387678163,12.5390547067849,70.3464589095834,0.000581915952434287,120887.661895688,-38068.1495355019,-41.6709643132053
