"Scenario","PropAgents","ProppPatientYears","ProppCopdPYs","SABAAll","LAMAAll","LAMALABAAll","ICSLAMALABAAll","MildpAgentAll","ModeratepAgentAll","SeverepAgentAll","VerySeverepAgentAll","NoCOPDpPYAll","GOLD1pPYAll","GOLD2pPYAll","GOLD3pPYAll","GOLD4pPYAll","DiagnosedpPYAll"
"S1NoCDAvg",1,1,1,0.019026564954703,0.135743182214053,0.151525730916028,0.0801041259046632,0.411901942844841,0.077583956729993,0.130547333297454,0.0114074861417577,0.842663136653858,0.0461029961795558,0.0490134065530477,0.0109659655173386,0.00190407594076932,0.186303882840628
"S1a",1,1,1,0.0262779179059999,0.158283250742881,0.309281815559048,0.0934938286897536,0.400927985027468,0.075192064128041,0.127388869019928,0.0108892360728297,0.842320774930455,0.046240478288279,0.0491039761896521,0.0110413028020749,0.00194329613471336,0.462873813041144
"S1b",1,1,1,0.0216795320651257,0.148731629251727,0.242003943616993,0.0880134876201304,0.405871344180716,0.0769419892063569,0.129256361787225,0.010973671518029,0.842320176366005,0.045914916102194,0.0494370252235925,0.0110452613945982,0.00194703169419199,0.336332865491444
"S1c",1,1,1,0.0202327369901787,0.144946147011949,0.21597603041382,0.0863540903108508,0.407786907269679,0.076842676583122,0.13034155883238,0.0112352757835003,0.842520652937287,0.0459353313800044,0.0493366242216666,0.0109494876325239,0.00191526244418453,0.290393672478054
"S2NoCD",0.594089392390076,0.582836547267891,0.706897232414831,0.019026564954703,0.135743182214053,0.151525730916028,0.0801041259046633,0.411901942844841,0.077583956729993,0.130547333297454,0.0114074861417577,0.842663136653858,0.0461029961795558,0.0490134065530477,0.0109659655173386,0.00190407594076932,0.186303882840628
"S2a",0.594222592971315,0.583963555447153,0.710989960748519,0.0225756503560763,0.146902292666407,0.229997247839613,0.0864230774558173,0.409752028430188,0.0764053922672284,0.128465120094068,0.011309520901442,0.842314648299509,0.0462021891706442,0.0491242102661266,0.0110734041876875,0.00195493555556784,0.312430115544193
"S3NoCD",0.464789300898768,0.41663574973328,0.592921567005978,0.019026564954703,0.135743182214053,0.151525730916028,0.0801041259046633,0.411901942844841,0.077583956729993,0.130547333297454,0.0114074861417577,0.842663136653858,0.0461029961795558,0.0490134065530477,0.0109659655173386,0.00190407594076932,0.186303882840628
"S3a",0.463295839836392,0.415793842029516,0.587438684030336,0.0200770813130469,0.139638426017456,0.180686743716617,0.0826891968195576,0.410758579789579,0.0767152138351107,0.12910751206427,0.011266194685597,0.843190453051584,0.0460182033973062,0.0485956018469384,0.0109433984276931,0.00190474201792909,0.230282908080229
"S3b",0.463593186588451,0.415708698650068,0.590775143105699,0.022684370281896,0.14734207943995,0.234571972456102,0.0867409667253551,0.404611223616558,0.075227658577526,0.127482620530284,0.0112153507971568,0.842811510939895,0.0462169135620317,0.0487277048326539,0.0109909037169296,0.00190224954608867,0.318272504333085
"S3c",0.464382971852968,0.416319472331262,0.587561713247178,0.0212949851110185,0.142915689740719,0.20754323779173,0.0843737911612146,0.40620885674959,0.0764952989980368,0.127844167458825,0.0112977570987136,0.843209639689345,0.0460298021983822,0.0486270929128179,0.0108981098201535,0.00187592801461112,0.273941569996176
"S3d",0.464065443194661,0.415985867507947,0.583549644286938,0.0207043830444287,0.141932411590139,0.194519690066055,0.0842248432790262,0.407360794885202,0.0757706321573943,0.12800699565411,0.0113756735878002,0.843626763381473,0.0456711023996997,0.0485047620460773,0.010909144303234,0.00194250762604308,0.25396767497339
