"Scenario","PropAgents","ProppPatientYears","ProppCopdPYs","SABAAll","LAMAAll","LAMALABAAll","ICSLAMALABAAll","MildpAgentAll","ModeratepAgentAll","SeverepAgentAll","VerySeverepAgentAll","NoCOPDpPYAll","GOLD1pPYAll","GOLD2pPYAll","GOLD3pPYAll","GOLD4pPYAll","DiagnosedpPYAll"
"S1NoCDAvg",1,1,1,0.019026564954703,0.135743182214053,0.151525730916028,0.0801041259046632,0.411901942844841,0.077583956729993,0.130547333297454,0.0114074861417577,0.842663136653858,0.0461029961795558,0.0490134065530477,0.0109659655173386,0.00190407594076932,0.186303882840628
"S1a",1,1,1,0.0278205139867389,0.154926830950346,0.273939352222281,0.0902570483731372,0.403152263573515,0.0762217976930332,0.128765345521083,0.0110753754262085,0.842416015882898,0.0464313597157224,0.0489591814885059,0.0109809714088704,0.00186025786763794,0.401009671513313
"S1b",1,1,1,0.0240794097106226,0.146184761277281,0.216096446076506,0.0866928578517853,0.40947049005405,0.0768274557129073,0.130485323643166,0.011249499410043,0.842123363245128,0.0465156334506031,0.0491308991051248,0.0109827747508531,0.0019343898141765,0.295507924802271
"S1c",1,1,1,0.0229460334694524,0.140886398625784,0.193761505704806,0.0826190575050426,0.410408002063385,0.076531955594244,0.12888093626076,0.0110503917206693,0.842318193035652,0.0464661471962002,0.0489770129111663,0.0109238828113104,0.00196996559242898,0.257157595575428
"S2NoCD",0.594596630967117,0.583733698909743,0.709134094671177,0.019026564954703,0.135743182214053,0.151525730916028,0.0801041259046633,0.411901942844842,0.077583956729993,0.130547333297454,0.0114074861417577,0.842663136653858,0.0461029961795558,0.0490134065530477,0.0109659655173386,0.00190407594076932,0.186303882840628
"S2a",0.593510844410957,0.583024978412041,0.702537554362341,0.0213314220010354,0.143096615755795,0.208611656734529,0.0845275732803925,0.405170993240456,0.0763628032754907,0.129228147475162,0.011153890548562,0.843335175418064,0.045683193234014,0.0487233194673853,0.0109824659820796,0.00193965501778608,0.277130403598473
"S3NoCD",0.463797696571767,0.415976763135965,0.588471053843016,0.019026564954703,0.135743182214053,0.151525730916028,0.0801041259046632,0.411901942844841,0.077583956729993,0.130547333297454,0.0114074861417577,0.842663136653858,0.0461029961795558,0.0490134065530477,0.0109659655173386,0.00190407594076932,0.186303882840628
"S3a",0.46395646090092,0.415948238307556,0.588620724316812,0.0197871414327958,0.138989149344457,0.172327024598974,0.0819582651026013,0.411008290799153,0.0772094919060861,0.131513508855734,0.0113873603460166,0.842636173495047,0.0459808566070923,0.0491366488782139,0.0110492438388671,0.00183690224747323,0.21934875237537
"S3b",0.463186857542651,0.415723734757408,0.585042255787432,0.0216424778918143,0.145156866564623,0.211633452297756,0.0865639023816031,0.406315224815977,0.0766304360593554,0.130754448158741,0.0114003377171513,0.84298975847657,0.0458737870040206,0.0487648754234437,0.0110970894897502,0.00190179061915769,0.285827755603219
"S3c",0.463321403584307,0.41574643367026,0.584814726617383,0.0205522652376961,0.140871162540352,0.191221696331796,0.0835539927252787,0.40951724051358,0.0765371235498111,0.130206526874487,0.0112324079560839,0.843024857935731,0.0458036740591705,0.0489066858447307,0.0110009654489928,0.00188609419081328,0.249818690077035
"S3d",0.462781873957268,0.414717172855099,0.582920871612875,0.0203316921006465,0.139843676111922,0.182642636793412,0.0823006289660329,0.409648849079027,0.0767395721455146,0.129980543923338,0.0113901720479239,0.843138264360583,0.0456570198534731,0.0489497730170953,0.0110191927588558,0.00183704868723961,0.235481713121232
