"Scenario","Agents","Cost","CostpAgent","QALY","QALYpAgent","ICER","IncrementalNMB"
"S2a",441650,1270487698.90989,2876.6844761913,5428809.94726154,12.2921090167815,7852.91327186469,1190.95891898428
"S3a",344340,1058616300.17421,3074.33437931758,3873042.79408961,11.2477283908045,7929.87325355512,802.847368085291
"S1a",743762,1807321434.83846,2429.97280694423,9340233.85530066,12.5580950025689,13791.1236349594,725.638704822282
"S3b",344561,1098068655.74354,3186.86286533746,3875122.85331643,11.2465509831828,14735.6484184054,631.448500979342
"S1c",744352,1784618220.32831,2397.54608079015,9343139.19729031,12.5520441905044,17438.1887711697,455.52482774877
"S3c",345148,1069636233.26244,3099.0654248683,3879670.64576857,11.2406001071093,14726.6630167767,421.70213777665
"S1b",744327,1760175402.83981,2364.78779197827,9341640.30501645,12.5504520258118,17035.3761277701,408.674881934188
"S3d",344912,1075013391.1131,3116.77584750051,3876329.07699014,11.2386031132293,19458.3550662101,304.142021142761
"S1NoCD",743128,1600395857.50736,2153.59380551851,9317379.47478886,12.538054648444,NA,0
"S2NoCD",441551,1172222126.7872,2654.78308686244,5415116.03082896,12.2638518106152,NA,0
"S3NoCD",345450,1009751816.93146,2923.00424643643,3878935.36024923,11.2286448407851,NA,0
