"Scenario","Agents","Cost","CostpAgent","QALY","QALYpAgent","ICER","IncrementalNMB"
"S3c",172313,524243526.006953,3042.39103263801,1936949.0305675,11.2408757932802,10873.5734302475,515.736046456499
"S3b",172689,540529545.400476,3130.07513738846,1941365.13936054,11.2419733703973,16178.589407411,482.930797557579
"S3a",172800,525843604.428328,3043.07641451579,1941999.37324835,11.2384222988909,13424.3006986573,392.375945112901
"S2a",220997,631718348.233518,2858.49286747566,2714421.93165526,12.282618911819,16541.1854891752,366.381096100784
"S1a",371757,875098848.27306,2353.95392224776,4667326.85604127,12.5547786754285,20430.7935080257,280.213119273307
"S1b",372238,848458397.255011,2279.34385327401,4671547.80851805,12.5498949825597,25910.5691473448,110.638544806163
"S1c",371786,861061063.664918,2316.01260850306,4665869.03370044,12.549878246358,34018.4533788558,73.1329794909107
"S1NoCD",371849,803320692.060527,2160.34113863565,4664958.06191617,12.5453021573708,NA,0
"S2NoCD",220397,590082858.532087,2677.36338757827,2704638.96653981,12.271668700299,NA,0
"S3NoCD",172607,500398655.350639,2899.06351046388,1937978.66834291,11.2276945219076,NA,0
"S3d",172648,525750685.572112,3045.21735306584,1938413.2242891,11.2275452034724,-978806.416843702,-153.619764365838
