"Scenario","Interval","CostpAgent_paper","CostpAgentAll","CostpAgentAll_repo","CostMyDiff","CostMyPerc","CostRepoDiff","CostRepoPerc","QALYpAgent_paper","QALYpAgentAll","QALYpAgentAll_repo","QALYMyDiff","QALYMyPerc","QALYRepoDiff","QALYRepoPerc","ICER_paper","ICERAdj","ICERAdj_repo","ICERMyDiff","ICERMyPerc","ICERRepoDiff","ICERRepoPerc","IncrementalNMB_paper","INMB","INMB_repo","INMBMyDiff","INMBMyPerc","INMBRepoDiff","INMBRepoPerc"
"S0",NA,2151,2149,2151,2,"0.1%",0,"0.0%",12.546,12.545,12.545,0.000999999999999446,"0%",0.000999999999999446,"0%",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"S1a","3 years",2438,2440,2439,-2,"-0.1%",-1,"0.0%",12.56,12.562,12.56,-0.00199999999999889,"0%",0,"0%",19632,17669,19665,1963,"11.1%",-33,"-0.2%",444,533,446,-89,"-16.7%",-2,"-0.40%"
"S1a","5 years",2356,2355,2355,1,"0.0%",1,"0.0%",12.556,12.556,12.557,0,"0%",-0.00100000000000122,"0%",19847,19073,16600,774,"4.1%",3247,"19.6%",312,335,411,-23,"-6.9%",-99,"-24.10%"
"S1b","3 years",2363,2362,2365,1,"0.0%",-2,"-0.1%",12.554,12.553,12.552,0.000999999999999446,"0%",0.00200000000000067,"0%",25894,26497,31076,-603,"-2.3%",-5182,"-16.7%",198,189,131,9,"4.8%",67,"51.10%"
"S1b","5 years",2296,2298,2298,-2,"-0.1%",-2,"-0.1%",12.552,12.552,12.551,0,"0%",0.000999999999999446,"0%",23187,22920,25501,267,"1.2%",-2314,"-9.1%",168,177,142,-9,"-5.1%",26,"18.30%"
"S1c","3 years",2386,2387,2386,-1,"0.0%",0,"0.0%",12.551,12.55,12.551,0.000999999999999446,"0%",0,"0%",46956,46445,42697,511,"1.1%",4259,"10.0%",15,18,40,-3,"-16.7%",-25,"-62.50%"
"S1c","5 years",2313,2314,2311,-1,"0.0%",2,"0.1%",12.55,12.551,12.551,-0.000999999999999446,"0%",-0.000999999999999446,"0%",38673,27818,29600,10855,"39.0%",9073,"30.7%",47,132,110,-85,"-64.4%",-63,"-57.30%"
"S2a","3 years",2286,2286,2287,0,"0.0%",-1,"0.0%",12.553,12.553,12.552,0,"0%",0.00100000000000122,"0%",18908,18082,21184,826,"4.6%",-2276,"-10.7%",223,242,186,-19,"-7.9%",37,"19.90%"
"S2a","5 years",2246,2241,2245,5,"0.2%",1,"0.0%",12.551,12.549,12.55,0.00200000000000067,"0%",0.000999999999999446,"0%",17514,27650,20394,-10136,"-36.7%",-2880,"-14.1%",176,74,137,102,"137.8%",39,"28.50%"
"S3a","3 years",2234,2234,2232,0,"0.0%",2,"0.1%",12.548,12.548,12.548,0,"0%",0,"0%",30366,28714,32247,1652,"5.8%",-1881,"-5.8%",54,63,45,-9,"-14.3%",9,"20.00%"
"S3a","5 years",2207,2203,2207,4,"0.2%",0,"0.0%",12.548,12.548,12.548,0,"0%",0,"0%",22636,22107,22694,529,"2.4%",-58,"-0.3%",68,68,67,0,"0.0%",1,"1.50%"
"S3b","3 years",2292,2289,2289,3,"0.1%",3,"0.1%",12.553,12.552,12.553,0.00100000000000122,"0%",0,"0%",18438,21354,18157,-2916,"-13.7%",281,"1.5%",241,188,243,53,"28.2%",-2,"-0.80%"
"S3b","5 years",2250,2245,2248,5,"0.2%",2,"0.1%",12.552,12.552,12.551,0,"0%",0.000999999999999446,"0%",16251,13503,17325,2748,"20.4%",-1074,"-6.2%",206,260,183,-54,"-20.8%",23,"12.60%"
"S3c","3 years",2256,2253,2255,3,"0.1%",1,"0.0%",12.55,12.549,12.55,0.00100000000000122,"0%",0,"0%",23972,28161,20700,-4189,"-14.9%",3272,"15.8%",114,81,148,33,"40.7%",-34,"-23.00%"
"S3c","5 years",2224,2220,2221,4,"0.2%",3,"0.1%",12.549,12.55,12.549,-0.00100000000000122,"0%",0,"0%",20278,14224,19250,6054,"42.6%",1028,"5.3%",107,178,113,-71,"-39.9%",-6,"-5.30%"
"S3d","3 years",2263,2262,2261,1,"0.0%",2,"0.1%",12.549,12.549,12.55,0,"0%",-0.00100000000000122,"0%",28245,33377,23462,-5132,"-15.4%",4783,"20.4%",86,56,124,30,"53.6%",-38,"-30.60%"
"S3d","5 years",2227,2223,2226,4,"0.2%",1,"0.0%",12.548,12.548,12.548,0,"0%",0,"0%",27591,26612,26517,979,"3.7%",1074,"4.1%",62,65,67,-3,"-4.6%",-5,"-7.50%"
